--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  20. judía                (Prob: 0.004843)

==================== TEMA 8 ====================
  1. además               (Prob: 0.076035)
  2. nombre               (Prob: 0.042791)
  3. alambrada            (Prob: 0.042791)
  4. mantener             (Prob: 0.033292)
  5. gota                 (Prob: 0.023794)
  6. tal                  (Prob: 0.023794)
  7. deportado            (Prob: 0.023794)
  8. oído                 (Prob: 0.019044)
  9. resistencio          (Prob: 0.019044)
  10. útil                 (Prob: 0.014295)
  11. velocidad            (Prob: 0.014295)
  12. marido               (Prob: 0.009546)
  13. destinar             (Prob: 0.009546)
  14. frío                 (Prob: 0.009546)
  15. inválido             (Prob: 0.009546)
  16. colocado             (Prob: 0.009546)
  17. conejillo            (Prob: 0.009546)
  18. kilómetro            (Prob: 0.009546)
  19. púlpito              (Prob: 0.004797)
  20. estatuilla           (Prob: 0.004797)

==================== TEMA 9 ====================
  1. creer                (Prob: 0.152813)
  2. ir                   (Prob: 0.071936)
  3. puesto               (Prob: 0.035990)
  4. hacia                (Prob: 0.027004)
  5. suficientemente      (Prob: 0.018018)
  6. vez                  (Prob: 0.013524)
  7. radio                (Prob: 0.013524)
  8. luego                (Prob: 0.013524)
  9. poco                 (Prob: 0.013524)
  10. corto                (Prob: 0.013524)
  11. hedor                (Prob: 0.009031)
  12. recibido             (Prob: 0.009031)
  13. compañía             (Prob: 0.009031)
  14. dijérir              (Prob: 0.009031)
  15. habitar              (Prob: 0.009031)
  16. perecer              (Prob: 0.009031)
  17. peor                 (Prob: 0.009031)
  18. tesoro               (Prob: 0.009031)
  19. internacional        (Prob: 0.004538)
  20. desaparecer          (Prob: 0.004538)

==================== TEMA 10 ====================
  1. mujer                (Prob: 0.184752)
  2. parte                (Prob: 0.023134)
  3. vecino               (Prob: 0.018517)
  4. hacer                (Prob: 0.018517)
  5. deplorable           (Prob: 0.018517)
  6. organizar            (Prob: 0.018517)
