--- ANÁLISIS DE TEMAS LDA (K=20) ---

==================== TEMA 0 ====================
  1. gas                  (Prob: 0.042682)
  2. internado            (Prob: 0.040720)
  3. muerte               (Prob: 0.039248)
  4. cuanto               (Prob: 0.033362)
  5. crematorio           (Prob: 0.032871)
  6. deportado            (Prob: 0.031890)
  7. birkenau             (Prob: 0.029437)
  8. cámar                (Prob: 0.022079)
  9. número               (Prob: 0.022079)
  10. gran                 (Prob: 0.019627)
  11. víctima              (Prob: 0.019136)
  12. cámara               (Prob: 0.017174)
  13. camión               (Prob: 0.016683)
  14. capaz                (Prob: 0.016193)
  15. sólo                 (Prob: 0.015702)
  16. movimiento           (Prob: 0.012268)
  17. francés              (Prob: 0.009816)
  18. condenado            (Prob: 0.009325)
  19. cambiar              (Prob: 0.009325)
  20. horno                (Prob: 0.009325)

==================== TEMA 1 ====================
  1. ser                  (Prob: 0.125905)
  2. llegar               (Prob: 0.071259)
  3. ojo                  (Prob: 0.035365)
  4. mientras             (Prob: 0.028936)
  5. todavía              (Prob: 0.025185)
  6. nuevo                (Prob: 0.024114)
  7. demá                 (Prob: 0.017149)
  8. tener                (Prob: 0.013935)
  9. marido               (Prob: 0.013399)
  10. extraño              (Prob: 0.012327)
  11. significar           (Prob: 0.012327)
  12. realidad             (Prob: 0.011792)
  13. imposible            (Prob: 0.009113)
  14. decir él             (Prob: 0.008577)
  15. principio            (Prob: 0.008577)
  16. quién                (Prob: 0.008042)
  17. momento              (Prob: 0.008042)
  18. pena                 (Prob: 0.008042)
  19. adelante             (Prob: 0.007506)
  20. masa                 (Prob: 0.007506)

==================== TEMA 2 ====================
  1. día                  (Prob: 0.118892)
  2. dar                  (Prob: 0.055486)
  3. mucho                (Prob: 0.044390)
  4. tres                 (Prob: 0.027481)
  5. barraco              (Prob: 0.026953)
  6. barraca              (Prob: 0.021669)
  7. poner                (Prob: 0.021669)
  8. cualquiera           (Prob: 0.017970)
  9. noticia              (Prob: 0.017442)
  10. mes                  (Prob: 0.012687)
  11. frente               (Prob: 0.011630)
  12. lugar                (Prob: 0.009516)
  13. destinado            (Prob: 0.008988)
  14. declarar             (Prob: 0.008988)
  15. principal            (Prob: 0.008459)
  16. verdadero            (Prob: 0.008459)
  17. blanco               (Prob: 0.008459)
  18. silencio             (Prob: 0.008459)
  19. dormir               (Prob: 0.007403)
  20. presentar            (Prob: 0.007403)

==================== TEMA 3 ====================
  1. alemán               (Prob: 0.057118)
  2. parte                (Prob: 0.038246)
  3. tal                  (Prob: 0.026327)
  4. ocurrir              (Prob: 0.025830)
  5. mujer                (Prob: 0.025333)
  6. bajo                 (Prob: 0.021857)
  7. humano               (Prob: 0.021857)
  8. caso                 (Prob: 0.019374)
  9. muerto               (Prob: 0.019374)
  10. experimento          (Prob: 0.018380)
  11. producir             (Prob: 0.016890)
  12. morir                (Prob: 0.013911)
  13. polaco               (Prob: 0.012917)
  14. realizar             (Prob: 0.012421)
  15. observar             (Prob: 0.012421)
  16. utilizar             (Prob: 0.011428)
  17. cual                 (Prob: 0.011428)
  18. efecto               (Prob: 0.010931)
  19. razón                (Prob: 0.010434)
  20. cuerpo               (Prob: 0.010434)

==================== TEMA 4 ====================
  1. hablar               (Prob: 0.034358)
  2. esposo               (Prob: 0.033860)
  3. mayor                (Prob: 0.019920)
  4. familia              (Prob: 0.018426)
  5. este                 (Prob: 0.018426)
  6. hecho                (Prob: 0.016933)
  7. nombre               (Prob: 0.015937)
  8. alemania             (Prob: 0.015937)
  9. padre                (Prob: 0.015439)
  10. hermana              (Prob: 0.014443)
  11. creer                (Prob: 0.013945)
  12. contar               (Prob: 0.013447)
  13. hitler               (Prob: 0.012452)
  14. gestapo              (Prob: 0.011456)
  15. antiguo              (Prob: 0.010460)
  16. pedir                (Prob: 0.009464)
  17. cluj                 (Prob: 0.008967)
  18. ocupado              (Prob: 0.008469)
  19. konczwald            (Prob: 0.008469)
  20. desesperado          (Prob: 0.007971)

==================== TEMA 5 ====================
  1. decir                (Prob: 0.090985)
  2. médico               (Prob: 0.053522)
  3. cómo                 (Prob: 0.032651)
  4. preguntar            (Prob: 0.023018)
  5. haber                (Prob: 0.021947)
  6. saber                (Prob: 0.021412)
  7. luego                (Prob: 0.020877)
  8. mundo                (Prob: 0.020877)
  9. visto                (Prob: 0.020877)
  10. hombre               (Prob: 0.018201)
  11. ir                   (Prob: 0.017666)
  12. valor                (Prob: 0.017131)
  13. voz                  (Prob: 0.016060)
  14. corazón              (Prob: 0.012849)
  15. terminar             (Prob: 0.012314)
  16. tú                   (Prob: 0.011244)
  17. hora                 (Prob: 0.010709)
  18. suelo                (Prob: 0.009638)
