--- ANÁLISIS DE TEMAS LDA (K=20) ---

==================== TEMA 0 ====================
  1. caballero            (Prob: 0.111228)
  2. merced               (Prob: 0.096468)
  3. andante              (Prob: 0.041119)
  4. noche                (Prob: 0.024602)
  5. comer                (Prob: 0.018276)
  6. replicar             (Prob: 0.017397)
  7. ínsula               (Prob: 0.017397)
  8. adelante             (Prob: 0.017046)
  9. vués                 (Prob: 0.016519)
  10. corazón              (Prob: 0.014410)
  11. caballeer            (Prob: 0.013883)
  12. quitar               (Prob: 0.013707)
  13. dulcineo             (Prob: 0.013707)
  14. mandar               (Prob: 0.011775)
  15. della                (Prob: 0.011072)
  16. encantador           (Prob: 0.010193)
  17. valiente             (Prob: 0.010017)
  18. vivo                 (Prob: 0.009490)
  19. debajo               (Prob: 0.009139)
  20. pan                  (Prob: 0.008612)

==================== TEMA 1 ====================
  1. tanto                (Prob: 0.170150)
  2. ver                  (Prob: 0.112748)
  3. ojo                  (Prob: 0.030330)
  4. traer                (Prob: 0.024847)
  5. tener                (Prob: 0.019878)
  6. desear               (Prob: 0.019364)
  7. cabeza               (Prob: 0.018507)
  8. hermoso              (Prob: 0.017136)
  9. rico                 (Prob: 0.015766)
  10. voluntad             (Prob: 0.015080)
  11. echar                (Prob: 0.012510)
  12. enamorado            (Prob: 0.011996)
  13. oro                  (Prob: 0.011139)
  14. caso                 (Prob: 0.010111)
  15. virtud               (Prob: 0.009597)
  16. sol                  (Prob: 0.008912)
  17. padre                (Prob: 0.008569)
  18. edad                 (Prob: 0.008569)
  19. cerca                (Prob: 0.007884)
  20. parar                (Prob: 0.007370)

==================== TEMA 2 ====================
  1. mundo                (Prob: 0.038683)
  2. gran                 (Prob: 0.037670)
  3. grande               (Prob: 0.035812)
  4. salir                (Prob: 0.033616)
  5. mirar                (Prob: 0.026690)
  6. pie                  (Prob: 0.026015)
  7. mano                 (Prob: 0.025001)
  8. duquesa              (Prob: 0.019089)
  9. rostro               (Prob: 0.018751)
  10. cierto               (Prob: 0.016387)
  11. señoro               (Prob: 0.015711)
  12. dueña                (Prob: 0.013008)
  13. dél                  (Prob: 0.012501)
  14. hija                 (Prob: 0.012501)
  15. lleno                (Prob: 0.011995)
  16. dueño                (Prob: 0.011657)
  17. presente             (Prob: 0.010306)
  18. doña                 (Prob: 0.010306)
  19. desto                (Prob: 0.009968)
