--- ANÁLISIS DE TEMAS LDA (K=80) ---

==================== TEMA 0 ====================
  1. mano                 (Prob: 0.181338)
  2. quijote              (Prob: 0.120025)
  3. replicar             (Prob: 0.049579)
  4. vivo                 (Prob: 0.031968)
  5. rucio                (Prob: 0.023488)
  6. maravilla            (Prob: 0.017618)
  7. jumento              (Prob: 0.012400)
  8. marido               (Prob: 0.012400)
  9. retablo              (Prob: 0.011095)
  10. ducar                (Prob: 0.011095)
  11. recato               (Prob: 0.010443)
  12. historia             (Prob: 0.010443)
  13. color                (Prob: 0.009791)
  14. decir                (Prob: 0.009791)
  15. alforja              (Prob: 0.009138)
  16. virtud               (Prob: 0.007834)
  17. hacienda             (Prob: 0.007834)
  18. dime                 (Prob: 0.007182)
  19. verdaderamente       (Prob: 0.007182)
  20. voz                  (Prob: 0.007182)

==================== TEMA 1 ====================
  1. grande               (Prob: 0.127177)
  2. volver               (Prob: 0.089736)
  3. enamorado            (Prob: 0.044548)
  4. casa                 (Prob: 0.043903)
  5. oro                  (Prob: 0.040030)
  6. edad                 (Prob: 0.032283)
  7. echar                (Prob: 0.028410)
  8. gigante              (Prob: 0.027765)
  9. virtud               (Prob: 0.022600)
  10. della                (Prob: 0.019373)
  11. mirad                (Prob: 0.014854)
  12. hijo                 (Prob: 0.013563)
  13. imaginar             (Prob: 0.012917)
  14. alzar                (Prob: 0.010981)
  15. gobernador           (Prob: 0.010335)
  16. detener              (Prob: 0.009044)
  17. cabeza               (Prob: 0.009044)
  18. nombrar              (Prob: 0.008398)
  19. condado              (Prob: 0.008398)
  20. parecido             (Prob: 0.007753)

==================== TEMA 2 ====================
  1. caballero            (Prob: 0.357978)
  2. andante              (Prob: 0.135421)
  3. verde                (Prob: 0.028218)
  4. gracioso             (Prob: 0.023202)
  5. andar                (Prob: 0.018187)
  6. armado               (Prob: 0.016933)
  7. representar          (Prob: 0.015052)
  8. admirado             (Prob: 0.013799)
  9. azot                 (Prob: 0.010037)
  10. luna                 (Prob: 0.010037)
  11. hablado              (Prob: 0.006275)
  12. parte                (Prob: 0.005022)
  13. lugar                (Prob: 0.005022)
  14. poderoso             (Prob: 0.004395)
  15. ajena                (Prob: 0.004395)
  16. pelo                 (Prob: 0.004395)
  17. amenaza              (Prob: 0.004395)
  18. curiosidad           (Prob: 0.003768)
  19. asiento              (Prob: 0.003768)
  20. glorio               (Prob: 0.003768)

==================== TEMA 3 ====================
  1. bien                 (Prob: 0.148474)
  2. amar                 (Prob: 0.076778)
  3. diablo               (Prob: 0.038709)
  4. suceso               (Prob: 0.037441)
  5. soler                (Prob: 0.028558)
  6. conocer              (Prob: 0.026654)
  7. muerte               (Prob: 0.021579)
  8. todo                 (Prob: 0.020944)
  9. seguir               (Prob: 0.020944)
  10. antiguo              (Prob: 0.017137)
  11. encantamento         (Prob: 0.016503)
  12. propio               (Prob: 0.015234)
  13. grado                (Prob: 0.013965)
  14. hallar él            (Prob: 0.010792)
  15. sentar               (Prob: 0.010158)
  16. verdaderamente       (Prob: 0.008889)
  17. suspender            (Prob: 0.008889)
  18. ejercicio            (Prob: 0.008889)
  19. notar                (Prob: 0.008889)
  20. fuerte               (Prob: 0.007620)

==================== TEMA 4 ====================
  1. dejar                (Prob: 0.197556)
  2. libro                (Prob: 0.089160)
  3. faltar               (Prob: 0.055166)
  4. pensamiento          (Prob: 0.044263)
  5. ofrecer              (Prob: 0.037207)
  6. padre                (Prob: 0.033359)
