--- ANÁLISIS DE TEMAS LDA (K=100) ---

==================== TEMA 0 ====================
  1. parte                (Prob: 0.146564)
  2. campo                (Prob: 0.092456)
  3. capaz                (Prob: 0.054130)
  4. deber                (Prob: 0.036094)
  5. noticia              (Prob: 0.031585)
  6. bello                (Prob: 0.013549)
  7. cuánto               (Prob: 0.013549)
  8. alimentación         (Prob: 0.013549)
  9. efecto               (Prob: 0.011295)
  10. estación             (Prob: 0.011295)
  11. mesa                 (Prob: 0.011295)
  12. generación           (Prob: 0.009040)
  13. niño                 (Prob: 0.009040)
  14. reducido             (Prob: 0.006786)
  15. consistir            (Prob: 0.006786)
  16. tocar                (Prob: 0.006786)
  17. humanidad            (Prob: 0.006786)
  18. continuar            (Prob: 0.006786)
  19. barraco              (Prob: 0.006786)
  20. perecido             (Prob: 0.006786)

==================== TEMA 1 ====================
  1. allí                 (Prob: 0.108178)
  2. ser                  (Prob: 0.096672)
  3. uno                  (Prob: 0.078263)
  4. hora                 (Prob: 0.027637)
  5. imposible            (Prob: 0.025336)
  6. morir                (Prob: 0.023035)
  7. andrajo              (Prob: 0.016131)
  8. totalmente           (Prob: 0.016131)
  9. manera               (Prob: 0.013830)
  10. trasladar            (Prob: 0.013830)
  11. miembro              (Prob: 0.011529)
  12. considerable         (Prob: 0.011529)
  13. tatuado              (Prob: 0.011529)
  14. ventanilla           (Prob: 0.009228)
  15. cadáver              (Prob: 0.009228)
  16. consecuencia         (Prob: 0.006927)
  17. griego               (Prob: 0.006927)
  18. jaula                (Prob: 0.006927)
  19. memorio              (Prob: 0.006927)
  20. secretir             (Prob: 0.004625)

==================== TEMA 2 ====================
  1. querer               (Prob: 0.168623)
  2. víctima              (Prob: 0.083255)
  3. utilizar             (Prob: 0.038437)
  4. indicar              (Prob: 0.036303)
  5. verdadero            (Prob: 0.032034)
  6. mismo                (Prob: 0.023498)
  7. mucho                (Prob: 0.019229)
  8. descubrir            (Prob: 0.017095)
  9. irmar                (Prob: 0.017095)
  10. manta                (Prob: 0.014961)
  11. periodo              (Prob: 0.014961)
  12. capezius             (Prob: 0.012827)
  13. futuro               (Prob: 0.012827)
  14. encerrado            (Prob: 0.010692)
  15. niño                 (Prob: 0.010692)
  16. individuo            (Prob: 0.010692)
  17. desaparecer          (Prob: 0.008558)
  18. escribir             (Prob: 0.008558)
  19. elegante             (Prob: 0.008558)
  20. armado               (Prob: 0.008558)

==================== TEMA 3 ====================
  1. hombre               (Prob: 0.166148)
  2. alemán               (Prob: 0.093467)
  3. familia              (Prob: 0.049859)
  4. frente               (Prob: 0.041552)
  5. barraca              (Prob: 0.029093)
  6. trabajador           (Prob: 0.022863)
  7. lado                 (Prob: 0.022863)
  8. lugar                (Prob: 0.020787)
  9. ver él               (Prob: 0.014557)
  10. ocupación            (Prob: 0.012480)
  11. importar             (Prob: 0.012480)
  12. débil                (Prob: 0.010404)
  13. cuyo                 (Prob: 0.010404)
  14. acerca               (Prob: 0.008327)
  15. brutalmente          (Prob: 0.008327)
  16. profundo             (Prob: 0.008327)
  17. belleza              (Prob: 0.008327)
  18. cristiano            (Prob: 0.006251)
  19. aparecer             (Prob: 0.006251)
  20. alambrado            (Prob: 0.006251)

==================== TEMA 4 ====================
  1. inmediatamente       (Prob: 0.068521)
  2. saber                (Prob: 0.057473)
  3. mundo                (Prob: 0.050844)
  4. muerte               (Prob: 0.048634)
  5. alguno               (Prob: 0.039796)
  6. camino               (Prob: 0.028748)
  7. crematorio           (Prob: 0.026538)
  8. nazi                 (Prob: 0.024328)
  9. enemigo              (Prob: 0.024328)
  10. trato                (Prob: 0.017699)
  11. rubio                (Prob: 0.015490)
  12. acusar               (Prob: 0.015490)
  13. llevar               (Prob: 0.013280)
  14. tocar                (Prob: 0.013280)
  15. persecución          (Prob: 0.011070)
  16. vecino               (Prob: 0.011070)
  17. trasladar            (Prob: 0.008861)
  18. corpulento           (Prob: 0.008861)
  19. indudablemente       (Prob: 0.008861)
  20. separado             (Prob: 0.008861)

==================== TEMA 5 ====================
  1. birkenau             (Prob: 0.126505)
  2. hecho                (Prob: 0.071986)
  3. trabajo              (Prob: 0.065444)
  4. sucio                (Prob: 0.030552)
  5. tú                   (Prob: 0.028371)
  6. llegar               (Prob: 0.024010)
  7. sentir               (Prob: 0.019648)
  8. decir él             (Prob: 0.019648)
  9. completamente        (Prob: 0.015287)
  10. esconder él          (Prob: 0.010926)
  11. universidad          (Prob: 0.010926)
  12. trasladado           (Prob: 0.010926)
  13. administración       (Prob: 0.010926)
  14. especificar          (Prob: 0.010926)
  15. kilómetro            (Prob: 0.010926)
  16. criminal             (Prob: 0.010926)
  17. permitir             (Prob: 0.008745)
  18. seña                 (Prob: 0.008745)
  19. cual                 (Prob: 0.008745)
  20. fantasío             (Prob: 0.006564)

==================== TEMA 6 ====================
  1. mientras             (Prob: 0.110278)
  2. agua                 (Prob: 0.088659)
  3. internado            (Prob: 0.075687)
  4. cuanto               (Prob: 0.067040)
  5. hablar               (Prob: 0.034612)
  6. detener              (Prob: 0.017317)
  7. asombro              (Prob: 0.015155)
  8. fábrica              (Prob: 0.012993)
  9. físico               (Prob: 0.010831)
  10. higiénico            (Prob: 0.010831)
  11. interesar            (Prob: 0.010831)
  12. terminado            (Prob: 0.010831)
  13. golpear              (Prob: 0.008669)
  14. menos                (Prob: 0.008669)
  15. gracias              (Prob: 0.008669)
  16. administración       (Prob: 0.008669)
  17. carácter             (Prob: 0.006507)
  18. obtener              (Prob: 0.006507)
  19. abandonar            (Prob: 0.006507)
  20. político             (Prob: 0.006507)

==================== TEMA 7 ====================
  1. hablar               (Prob: 0.084263)
  2. joven                (Prob: 0.066211)
  3. tren                 (Prob: 0.040136)
  4. haber                (Prob: 0.032112)
  5. blanco               (Prob: 0.028101)
  6. raro                 (Prob: 0.022084)
  7. entonces             (Prob: 0.022084)
  8. disponer             (Prob: 0.022084)
  9. casi                 (Prob: 0.020078)
  10. diez                 (Prob: 0.018072)
  11. obispo               (Prob: 0.018072)
  12. criminal             (Prob: 0.016066)
  13. turno                (Prob: 0.014060)
  14. sorprendido          (Prob: 0.014060)
  15. malo                 (Prob: 0.014060)
  16. supuesto             (Prob: 0.012055)
  17. energía              (Prob: 0.012055)
  18. hermán               (Prob: 0.012055)
  19. privilegio           (Prob: 0.012055)
  20. cuarenta             (Prob: 0.010049)

==================== TEMA 8 ====================
  1. siempre              (Prob: 0.128376)
  2. doctora              (Prob: 0.064201)
  3. cargo                (Prob: 0.043665)
  4. mano                 (Prob: 0.035964)
  5. ír                   (Prob: 0.020562)
  6. prueba               (Prob: 0.015428)
  7. empezar              (Prob: 0.015428)
  8. equipo               (Prob: 0.015428)
  9. imposible            (Prob: 0.012861)
  10. miré                 (Prob: 0.012861)
  11. igual                (Prob: 0.010294)
  12. ejército             (Prob: 0.010294)
  13. conversación         (Prob: 0.010294)
  14. ley                  (Prob: 0.010294)
  15. coger                (Prob: 0.010294)
  16. rayo                 (Prob: 0.007727)
  17. música               (Prob: 0.007727)
  18. hablé                (Prob: 0.007727)
  19. tú                   (Prob: 0.007727)
  20. forzosamente         (Prob: 0.007727)

==================== TEMA 9 ====================
  1. trabajar             (Prob: 0.072276)
  2. tal                  (Prob: 0.070150)
  3. checo                (Prob: 0.055275)
  4. crematorio           (Prob: 0.044649)
  5. aquel                (Prob: 0.036148)
  6. peligro              (Prob: 0.036148)
  7. vivir                (Prob: 0.027648)
  8. entregar             (Prob: 0.025523)
  9. enorme               (Prob: 0.021273)
  10. acabar               (Prob: 0.019147)
  11. dedicar              (Prob: 0.017022)
  12. espacio              (Prob: 0.014897)
  13. conservar            (Prob: 0.012772)
  14. salir                (Prob: 0.012772)
  15. ganado               (Prob: 0.012772)
  16. informar             (Prob: 0.010647)
  17. encargado            (Prob: 0.010647)
  18. sufrimiento          (Prob: 0.010647)
  19. ángel                (Prob: 0.008522)
  20. exclusivamente       (Prob: 0.008522)

==================== TEMA 10 ====================
  1. tiempo               (Prob: 0.108173)
  2. enferma              (Prob: 0.067881)
  3. cinco                (Prob: 0.055157)
  4. enfermeer            (Prob: 0.044554)
  5. embargo              (Prob: 0.027589)
  6. gran                 (Prob: 0.027589)
  7. criatura             (Prob: 0.023348)
  8. comer                (Prob: 0.019107)
  9. manta                (Prob: 0.016986)
  10. atender              (Prob: 0.014866)
  11. sopa                 (Prob: 0.012745)
  12. pingajo              (Prob: 0.012745)
  13. ario                 (Prob: 0.012745)
  14. generalmente         (Prob: 0.012745)
  15. sed                  (Prob: 0.010624)
  16. condenar             (Prob: 0.010624)
  17. piso                 (Prob: 0.008504)
  18. considerablemente    (Prob: 0.008504)
  19. falta                (Prob: 0.008504)
  20. rodilla              (Prob: 0.006383)

==================== TEMA 11 ====================
  1. mayor                (Prob: 0.091613)
  2. llamado              (Prob: 0.061083)
  3. llamar               (Prob: 0.041456)
  4. cuatro               (Prob: 0.030552)
  5. ocupado              (Prob: 0.030552)
  6. vestido              (Prob: 0.026191)
  7. tratar               (Prob: 0.019648)
  8. tirar                (Prob: 0.017468)
  9. jamás                (Prob: 0.017468)
  10. historia             (Prob: 0.017468)
  11. mandado              (Prob: 0.017468)
  12. diario               (Prob: 0.015287)
  13. común                (Prob: 0.015287)
  14. frecuencia           (Prob: 0.013106)
  15. establecer           (Prob: 0.013106)
