--- ANÁLISIS DE TEMAS LDA (K=50) ---

==================== TEMA 0 ====================
  1. caballero            (Prob: 0.269354)
  2. amar                 (Prob: 0.053619)
  3. adelante             (Prob: 0.041279)
  4. caballeer            (Prob: 0.027663)
  5. pan                  (Prob: 0.020854)
  6. rucio                (Prob: 0.019152)
  7. dinero               (Prob: 0.015323)
  8. sangre               (Prob: 0.015323)
  9. duda                 (Prob: 0.012770)
  10. servido              (Prob: 0.011919)
  11. maravilla            (Prob: 0.011493)
  12. digno                (Prob: 0.011068)
  13. mala                 (Prob: 0.009366)
  14. marido               (Prob: 0.008940)
  15. jumento              (Prob: 0.008940)
  16. decir                (Prob: 0.008089)
  17. ruido                (Prob: 0.008089)
  18. historia             (Prob: 0.007238)
  19. retablo              (Prob: 0.007238)
  20. vués                 (Prob: 0.007238)

==================== TEMA 1 ====================
  1. querer               (Prob: 0.223146)
  2. cielo                (Prob: 0.065192)
  3. pensamiento          (Prob: 0.043462)
  4. casa                 (Prob: 0.031344)
  5. volver               (Prob: 0.026330)
  6. echar                (Prob: 0.020480)
  7. hijo                 (Prob: 0.020480)
  8. basilio              (Prob: 0.019644)
  9. pobre                (Prob: 0.016719)
  10. della                (Prob: 0.016719)
  11. voz                  (Prob: 0.016301)
  12. quiterio             (Prob: 0.014630)
  13. suelo                (Prob: 0.011704)
  14. camacho              (Prob: 0.011704)
  15. mirad                (Prob: 0.009615)
  16. razón                (Prob: 0.009615)
  17. seco                 (Prob: 0.008779)
  18. alzar                (Prob: 0.007108)
  19. aguardar             (Prob: 0.007108)
  20. acudir               (Prob: 0.006690)

==================== TEMA 2 ====================
  1. bien                 (Prob: 0.211447)
  2. mundo                (Prob: 0.067486)
  3. camino               (Prob: 0.064623)
  4. noche                (Prob: 0.056035)
  5. replicar             (Prob: 0.040084)
  6. hora                 (Prob: 0.031496)
  7. palabra              (Prob: 0.022089)
  8. refrán               (Prob: 0.015954)
  9. gracioso             (Prob: 0.015136)
  10. admirado             (Prob: 0.013909)
  11. cinco                (Prob: 0.012683)
  12. andar                (Prob: 0.011865)
  13. representar          (Prob: 0.010229)
  14. enamorado            (Prob: 0.009002)
  15. cubierto             (Prob: 0.008593)
  16. vuelto               (Prob: 0.008184)
  17. arrojar              (Prob: 0.007775)
  18. respeto              (Prob: 0.007366)
  19. despecho             (Prob: 0.006957)
  20. gobernador           (Prob: 0.006548)

==================== TEMA 3 ====================
  1. ver                  (Prob: 0.113324)
  2. dos                  (Prob: 0.086759)
  3. mirar                (Prob: 0.058947)
  4. cierto               (Prob: 0.040683)
  5. traer                (Prob: 0.031136)
  6. cuatro               (Prob: 0.026570)
  7. diablo               (Prob: 0.025740)
  8. oro                  (Prob: 0.015363)
  9. lado                 (Prob: 0.014947)
  10. vivo                 (Prob: 0.014947)
  11. cabo                 (Prob: 0.014532)
  12. muerte               (Prob: 0.014117)
  13. encantamento         (Prob: 0.012457)
  14. abrir                (Prob: 0.011627)
  15. dudar                (Prob: 0.011212)
  16. fuerte               (Prob: 0.011212)
  17. guerra               (Prob: 0.010797)
  18. conocer              (Prob: 0.010381)
  19. propio               (Prob: 0.010381)
  20. grado                (Prob: 0.009136)

==================== TEMA 4 ====================
  1. luego                (Prob: 0.080132)
  2. mas                  (Prob: 0.054376)
  3. nombre               (Prob: 0.053559)
  4. gusto                (Prob: 0.040477)
  5. voluntad             (Prob: 0.036389)
  6. faltar               (Prob: 0.035162)
  7. quitar               (Prob: 0.031892)
  8. ofrecer              (Prob: 0.023715)
  9. fernando             (Prob: 0.023306)
  10. cerca                (Prob: 0.018810)
  11. azot                 (Prob: 0.016765)
  12. cabrero              (Prob: 0.016765)
  13. discreto             (Prob: 0.015130)
  14. recibir              (Prob: 0.013086)
  15. año                  (Prob: 0.012677)
  16. antiguo              (Prob: 0.011042)
  17. adónde               (Prob: 0.011042)
  18. pecado               (Prob: 0.010633)
  19. amante               (Prob: 0.009816)
  20. cubrir               (Prob: 0.009816)

==================== TEMA 5 ====================
  1. pedir                (Prob: 0.054533)
  2. punto                (Prob: 0.050122)
  3. doncella             (Prob: 0.043707)
  4. amor                 (Prob: 0.040901)
  5. año                  (Prob: 0.035688)
  6. contento             (Prob: 0.029674)
  7. suceso               (Prob: 0.026066)
  8. cardenio             (Prob: 0.023660)
  9. verde                (Prob: 0.022056)
  10. vida                 (Prob: 0.017646)
  11. honrado              (Prob: 0.013235)
  12. provecho             (Prob: 0.012433)
  13. ingenio              (Prob: 0.012433)
  14. callar               (Prob: 0.011631)
  15. primo                (Prob: 0.011631)
  16. buena                (Prob: 0.011231)
  17. oro                  (Prob: 0.011231)
  18. hacia                (Prob: 0.010028)
  19. oidor                (Prob: 0.010028)
  20. hazaña               (Prob: 0.009627)

==================== TEMA 6 ====================
  1. quijote              (Prob: 0.163820)
  2. merced               (Prob: 0.107935)
  3. nuevo                (Prob: 0.073380)
  4. tres                 (Prob: 0.067834)
  5. gran                 (Prob: 0.034133)
  6. poco                 (Prob: 0.033279)
  7. amo                  (Prob: 0.028160)
  8. oído                 (Prob: 0.022614)
  9. edad                 (Prob: 0.021334)
  10. levantar             (Prob: 0.020908)
  11. manera               (Prob: 0.018775)
  12. majestad             (Prob: 0.009816)
  13. confesar             (Prob: 0.007683)
  14. suceder              (Prob: 0.007683)
  15. luna                 (Prob: 0.007683)
  16. hacer                (Prob: 0.006830)
  17. burlar               (Prob: 0.006830)
  18. mudar                (Prob: 0.006403)
  19. caber                (Prob: 0.005977)
  20. quedar               (Prob: 0.005977)

==================== TEMA 7 ====================
  1. ahora                (Prob: 0.090645)
  2. creer                (Prob: 0.057382)
  3. hallar               (Prob: 0.054056)
  4. dulcinear            (Prob: 0.036593)
  5. pasado               (Prob: 0.030772)
  6. corazón              (Prob: 0.028693)
  7. vivir                (Prob: 0.027030)
  8. cuanto               (Prob: 0.022041)
  9. hecho                (Prob: 0.021209)
  10. valeroso             (Prob: 0.020378)
  11. quedar               (Prob: 0.019962)
  12. mano                 (Prob: 0.018299)
  13. orden                (Prob: 0.018299)
  14. virtud               (Prob: 0.014557)
  15. muestra              (Prob: 0.014557)
  16. seguir               (Prob: 0.013725)
  17. carro                (Prob: 0.013309)
  18. seis                 (Prob: 0.013309)
  19. reino                (Prob: 0.012062)
  20. montesino            (Prob: 0.010815)

==================== TEMA 8 ====================
  1. dar                  (Prob: 0.329191)
  2. quedar               (Prob: 0.090637)
  3. servir               (Prob: 0.022663)
  4. decir él             (Prob: 0.016677)
  5. ojo                  (Prob: 0.016677)
  6. memoria              (Prob: 0.012402)
  7. memorio              (Prob: 0.012402)
  8. fortuna              (Prob: 0.010692)
  9. palabra              (Prob: 0.010265)
  10. bastar               (Prob: 0.010265)
  11. vizcaíno             (Prob: 0.007272)
  12. fatigar              (Prob: 0.006845)
  13. patria               (Prob: 0.006845)
  14. fama                 (Prob: 0.006417)
  15. benengeli            (Prob: 0.005562)
  16. corazón              (Prob: 0.005562)
  17. desdicha             (Prob: 0.005134)
  18. dichoso              (Prob: 0.005134)
  19. retirar              (Prob: 0.005134)
  20. general              (Prob: 0.005134)

==================== TEMA 9 ====================
  1. llegar               (Prob: 0.127486)
  2. aun                  (Prob: 0.053189)
  3. vo                   (Prob: 0.047911)
  4. panza                (Prob: 0.047099)
  5. modo                 (Prob: 0.043851)
  6. hombre               (Prob: 0.039385)
  7. agoro                (Prob: 0.028830)
  8. dejar                (Prob: 0.026394)
  9. moro                 (Prob: 0.025582)
  10. hermano              (Prob: 0.024770)
  11. querer               (Prob: 0.017462)
  12. honra                (Prob: 0.012590)
  13. nadie                (Prob: 0.010966)
  14. admiración           (Prob: 0.010154)
  15. perla                (Prob: 0.009748)
  16. advertir             (Prob: 0.009342)
  17. perro                (Prob: 0.009342)
  18. nacido               (Prob: 0.009342)
  19. mono                 (Prob: 0.008530)
  20. matar                (Prob: 0.008530)

==================== TEMA 10 ====================
  1. poder                (Prob: 0.214194)
  2. ver                  (Prob: 0.087222)
  3. dio                  (Prob: 0.045438)
  4. cosa                 (Prob: 0.041382)
  5. suerte               (Prob: 0.030834)
  6. dorotear             (Prob: 0.015419)
  7. poner él             (Prob: 0.015014)
  8. hoy                  (Prob: 0.015014)
  9. entonces             (Prob: 0.014608)
  10. discreción           (Prob: 0.012174)
  11. quién                (Prob: 0.010146)
  12. yelmo                (Prob: 0.010146)
  13. della                (Prob: 0.009334)
  14. paño                 (Prob: 0.007712)
  15. bacir                (Prob: 0.007712)
  16. armado               (Prob: 0.007712)
  17. milagro              (Prob: 0.007306)
  18. estrella             (Prob: 0.007306)
  19. burla                (Prob: 0.006900)
  20. decir él             (Prob: 0.006900)

==================== TEMA 11 ====================
  1. responder            (Prob: 0.298202)
  2. visto                (Prob: 0.074859)
  3. jamás                (Prob: 0.031736)
  4. ganar                (Prob: 0.023600)
  5. servir               (Prob: 0.022786)
  6. haber él             (Prob: 0.020752)
  7. caminar              (Prob: 0.020345)
  8. guardar              (Prob: 0.014243)
  9. dormir               (Prob: 0.014243)
  10. suspenso             (Prob: 0.013836)
  11. dónde                (Prob: 0.011395)
  12. mesa                 (Prob: 0.010988)
  13. libertad             (Prob: 0.010175)
  14. punta                (Prob: 0.009361)
  15. riqueza              (Prob: 0.008547)
  16. luscinda             (Prob: 0.008547)
  17. señora               (Prob: 0.008140)
  18. compadre             (Prob: 0.007734)
  19. nacer                (Prob: 0.006513)
  20. hermosuro            (Prob: 0.006106)

==================== TEMA 12 ====================
  1. cosa                 (Prob: 0.159830)
  2. mano                 (Prob: 0.100000)
  3. aunque               (Prob: 0.072386)
  4. bachiller            (Prob: 0.030547)
  5. señal                (Prob: 0.029710)
  6. presente             (Prob: 0.025526)
  7. entendimiento        (Prob: 0.019250)
  8. campo                (Prob: 0.017995)
  9. sucedido             (Prob: 0.015903)
  10. sentar               (Prob: 0.013811)
  11. falta                (Prob: 0.013393)
  12. cortesía             (Prob: 0.012974)
  13. trifaldi             (Prob: 0.010882)
  14. historio             (Prob: 0.010464)
  15. lágrima              (Prob: 0.010046)
  16. atento               (Prob: 0.008790)
  17. necedad              (Prob: 0.008372)
  18. enojo                (Prob: 0.006280)
  19. llamado              (Prob: 0.005862)
  20. gloria               (Prob: 0.005862)

==================== TEMA 13 ====================
  1. ir                   (Prob: 0.054592)
  2. andar                (Prob: 0.050457)
  3. ojo                  (Prob: 0.048803)
  4. vestido              (Prob: 0.038878)
  5. alma                 (Prob: 0.034329)
  6. cual                 (Prob: 0.032261)
  7. aunque               (Prob: 0.026058)
  8. ventero              (Prob: 0.025231)
  9. mozo                 (Prob: 0.023576)
  10. debajo               (Prob: 0.021095)
  11. contrario            (Prob: 0.016546)
  12. peligro              (Prob: 0.015305)
  13. dolor                (Prob: 0.012824)
  14. fuerir               (Prob: 0.012411)
  15. promesa              (Prob: 0.012411)
  16. mes                  (Prob: 0.010756)
  17. lugar                (Prob: 0.010756)
  18. menester             (Prob: 0.009929)
  19. libertad             (Prob: 0.009516)
  20. ordenar              (Prob: 0.009516)

==================== TEMA 14 ====================
  1. señor                (Prob: 0.298957)
  2. mismo                (Prob: 0.057559)
  3. proseguir            (Prob: 0.038098)
  4. muerto               (Prob: 0.021535)
  5. correr               (Prob: 0.019051)
  6. noticia              (Prob: 0.017809)
  7. peor                 (Prob: 0.012840)
  8. sabio                (Prob: 0.012426)
  9. paz                  (Prob: 0.012012)
  10. contar               (Prob: 0.011598)
  11. rienda               (Prob: 0.011184)
  12. diligencia           (Prob: 0.010770)
  13. referido             (Prob: 0.009113)
  14. acertado             (Prob: 0.008699)
  15. salir                (Prob: 0.008285)
  16. río                  (Prob: 0.008285)
  17. lanza                (Prob: 0.007457)
  18. romance              (Prob: 0.007457)
  19. acontecer            (Prob: 0.007043)
  20. alcázar              (Prob: 0.006629)

==================== TEMA 15 ====================
  1. sancho               (Prob: 0.582810)
  2. ínsula               (Prob: 0.039100)
  3. valer                (Prob: 0.012095)
  4. enviar               (Prob: 0.011692)
  5. sentencia            (Prob: 0.011692)
  6. dulcinea             (Prob: 0.008468)
  7. riguroso             (Prob: 0.005647)
