--- ANÁLISIS DE TEMAS LDA (K=100) ---

==================== TEMA 0 ====================
  1. mano                 (Prob: 0.133789)
  2. quijote              (Prob: 0.100917)
  3. bien                 (Prob: 0.061165)
  4. replicar             (Prob: 0.051227)
  5. vivo                 (Prob: 0.035938)
  6. sangre               (Prob: 0.026000)
  7. duda                 (Prob: 0.021413)
  8. recato               (Prob: 0.012239)
  9. historia             (Prob: 0.012239)
  10. retablo              (Prob: 0.012239)
  11. color                (Prob: 0.011475)
  12. decir                (Prob: 0.011475)
  13. jumento              (Prob: 0.010710)
  14. fatigar              (Prob: 0.009946)
  15. mandar               (Prob: 0.009181)
  16. virtud               (Prob: 0.008417)
  17. dime                 (Prob: 0.008417)
  18. vués                 (Prob: 0.007652)
  19. digno                (Prob: 0.006888)
  20. cuándo               (Prob: 0.006888)

==================== TEMA 1 ====================
  1. razón                (Prob: 0.143306)
  2. pensamiento          (Prob: 0.071261)
  3. volver               (Prob: 0.061761)
  4. edad                 (Prob: 0.039593)
  5. nombre               (Prob: 0.033259)
  6. della                (Prob: 0.032468)
  7. oro                  (Prob: 0.026926)
  8. mirad                (Prob: 0.018217)
  9. enamorado            (Prob: 0.017425)
  10. gigante              (Prob: 0.016634)
  11. imaginar             (Prob: 0.016634)
  12. alzar                (Prob: 0.013467)
  13. casa                 (Prob: 0.013467)
  14. azot                 (Prob: 0.012675)
  15. nombrar              (Prob: 0.010300)
  16. hijo                 (Prob: 0.010300)
  17. parecido             (Prob: 0.009508)
  18. emperador            (Prob: 0.008717)
  19. descuido             (Prob: 0.008717)
  20. vencimiento          (Prob: 0.008717)

==================== TEMA 2 ====================
  1. saber                (Prob: 0.147935)
  2. palabra              (Prob: 0.064675)
  3. lugar                (Prob: 0.056592)
  4. gobernador           (Prob: 0.031533)
  5. gracioso             (Prob: 0.027492)
  6. muerte               (Prob: 0.026683)
  7. admirado             (Prob: 0.023450)
  8. andar                (Prob: 0.023450)
  9. representar          (Prob: 0.020217)
  10. maravilla            (Prob: 0.019408)
  11. visto                (Prob: 0.016983)
  12. satisfecho           (Prob: 0.013750)
