--- ANÁLISIS DE TEMAS LDA (K=40) ---

==================== TEMA 0 ====================
  1. día                  (Prob: 0.201704)
  2. todo                 (Prob: 0.106376)
  3. nuevo                (Prob: 0.034127)
  4. capaz                (Prob: 0.024093)
  5. solo                 (Prob: 0.023089)
  6. campo                (Prob: 0.023089)
  7. ración               (Prob: 0.020079)
  8. deber                (Prob: 0.019076)
  9. tocar                (Prob: 0.013055)
  10. sopa                 (Prob: 0.012051)
  11. parte                (Prob: 0.009041)
  12. ír                   (Prob: 0.008038)
  13. visita               (Prob: 0.008038)
  14. mencionar            (Prob: 0.007034)
  15. ar                   (Prob: 0.006031)
  16. alimentación         (Prob: 0.006031)
  17. estación             (Prob: 0.006031)
  18. bello                (Prob: 0.006031)
  19. ahorrar              (Prob: 0.005027)
  20. fresco               (Prob: 0.005027)

==================== TEMA 1 ====================
  1. campo                (Prob: 0.247992)
  2. allí                 (Prob: 0.043383)
  3. víctima              (Prob: 0.036782)
  4. uno                  (Prob: 0.036782)
  5. ropa                 (Prob: 0.026411)
  6. cabo                 (Prob: 0.017924)
  7. canadá               (Prob: 0.014153)
  8. principal            (Prob: 0.014153)
  9. trato                (Prob: 0.013210)
  10. verdaderamente       (Prob: 0.011324)
  11. centinela            (Prob: 0.011324)
  12. repetir              (Prob: 0.009438)
  13. rumor                (Prob: 0.008496)
  14. tirar                (Prob: 0.008496)
  15. andrajo              (Prob: 0.008496)
  16. especial             (Prob: 0.007553)
  17. completo             (Prob: 0.007553)
  18. periodo              (Prob: 0.007553)
  19. detener              (Prob: 0.007553)
  20. ancho                (Prob: 0.006610)

==================== TEMA 2 ====================
  1. querer               (Prob: 0.085851)
  2. hombre               (Prob: 0.066434)
  3. así                  (Prob: 0.058259)
  4. tal                  (Prob: 0.054171)
  5. ninguno              (Prob: 0.041909)
  6. creer                (Prob: 0.035777)
  7. barraca              (Prob: 0.024536)
  8. indicar              (Prob: 0.017383)
  9. numeroso             (Prob: 0.017383)
  10. verdadero            (Prob: 0.016361)
  11. jamás                (Prob: 0.015339)
  12. lugar                (Prob: 0.013295)
  13. enorme               (Prob: 0.013295)
  14. sentimiento          (Prob: 0.012273)
  15. privilegio           (Prob: 0.011251)
  16. grave                (Prob: 0.011251)
  17. importar             (Prob: 0.010229)
  18. sufrir               (Prob: 0.010229)
  19. mismo                (Prob: 0.009207)
  20. manta                (Prob: 0.009207)

==================== TEMA 3 ====================
  1. sólo                 (Prob: 0.041023)
  2. puerta               (Prob: 0.030230)
  3. sentir               (Prob: 0.030230)
  4. comida               (Prob: 0.026992)
  5. alguno               (Prob: 0.024834)
  6. poco                 (Prob: 0.023755)
  7. frente               (Prob: 0.022675)
  8. convertir            (Prob: 0.022675)
  9. enemigo              (Prob: 0.020517)
  10. deber                (Prob: 0.018358)
  11. terrible             (Prob: 0.018358)
