--- ANÁLISIS DE TEMAS LDA (K=200) ---

  20. frío                 (Prob: 0.007242)

==================== TEMA 8 ====================
  1. lugar                (Prob: 0.098579)
  2. ir                   (Prob: 0.078051)
  3. puesto               (Prob: 0.041099)
  4. río                  (Prob: 0.028781)
  5. gota                 (Prob: 0.020570)
  6. decidir              (Prob: 0.016464)
  7. mano                 (Prob: 0.016464)
  8. deplorable           (Prob: 0.016464)
  9. ejemplo              (Prob: 0.016464)
  10. radio                (Prob: 0.012358)
  11. corto                (Prob: 0.012358)
  12. útil                 (Prob: 0.012358)
  13. cual                 (Prob: 0.008253)
  14. incinerado           (Prob: 0.008253)
  15. destinar             (Prob: 0.008253)
  16. hedor                (Prob: 0.008253)
  17. colocado             (Prob: 0.008253)
  18. platillo             (Prob: 0.008253)
  19. habitar              (Prob: 0.008253)
  20. charco               (Prob: 0.008253)

==================== TEMA 9 ====================
  1. creer                (Prob: 0.135290)
  2. después              (Prob: 0.058525)
  3. nombre               (Prob: 0.036592)
  4. principio            (Prob: 0.025625)
  5. observar             (Prob: 0.025625)
  6. recibido             (Prob: 0.018314)
  7. deportado            (Prob: 0.018314)
  8. oído                 (Prob: 0.014659)
  9. vecino               (Prob: 0.014659)
  10. vez                  (Prob: 0.014659)
  11. forzar               (Prob: 0.014659)
  12. prohibir             (Prob: 0.014659)
  13. organizar            (Prob: 0.014659)
  14. sensación            (Prob: 0.011003)
  15. niña                 (Prob: 0.011003)
  16. polonia              (Prob: 0.011003)
  17. luego                (Prob: 0.011003)
  18. poco                 (Prob: 0.011003)
  19. diciembre            (Prob: 0.007348)
  20. compañía             (Prob: 0.007348)

==================== TEMA 10 ====================
  1. encontrar            (Prob: 0.117240)
  2. hombre               (Prob: 0.071068)
  3. después              (Prob: 0.056862)
  4. hacia                (Prob: 0.053310)
  5. ejecutado            (Prob: 0.028449)
  6. dirigir              (Prob: 0.024897)
  7. preso                (Prob: 0.017794)
  8. cerrar               (Prob: 0.017794)
  9. ayuda                (Prob: 0.010690)
  10. pulmonir             (Prob: 0.010690)
  11. disminuir            (Prob: 0.010690)
  12. hacer                (Prob: 0.007139)
  13. infracción           (Prob: 0.007139)
  14. imaginar             (Prob: 0.007139)
  15. doce                 (Prob: 0.007139)
  16. firmar               (Prob: 0.007139)
  17. adaptar él           (Prob: 0.007139)
  18. proyecto             (Prob: 0.007139)
  19. multitud             (Prob: 0.007139)
  20. frontera             (Prob: 0.007139)

==================== TEMA 11 ====================
  1. poder                (Prob: 0.364847)
  2. efecto               (Prob: 0.027567)
  3. camión               (Prob: 0.027567)
  4. marchar              (Prob: 0.017243)
  5. falta                (Prob: 0.013801)
  6. edificio             (Prob: 0.010359)
  7. humanidad            (Prob: 0.010359)
  8. patriota             (Prob: 0.006918)
  9. paisano              (Prob: 0.006918)
  10. exterminación        (Prob: 0.006918)
  11. veces                (Prob: 0.006918)
  12. occidental           (Prob: 0.006918)
  13. fecha                (Prob: 0.006918)
  14. irma                 (Prob: 0.006918)
  15. comprado             (Prob: 0.006918)
  16. vuelta               (Prob: 0.006918)
  17. disparar             (Prob: 0.006918)
  18. alguien              (Prob: 0.003476)
  19. tener                (Prob: 0.003476)
  20. trampa               (Prob: 0.003476)

==================== TEMA 12 ====================
  1. ser                  (Prob: 0.158609)
  2. alemán               (Prob: 0.100596)
  3. hospital             (Prob: 0.030979)
  4. enfermera            (Prob: 0.027112)
  5. proporcionar         (Prob: 0.023244)
  6. ojo                  (Prob: 0.019377)
  7. destino              (Prob: 0.015509)
  8. herido               (Prob: 0.011641)
  9. moler                (Prob: 0.011641)
  10. actualmente          (Prob: 0.011641)
  11. quizás               (Prob: 0.011641)
  12. sardina              (Prob: 0.007774)
  13. irka                 (Prob: 0.007774)
  14. actuar               (Prob: 0.007774)
  15. alambrada            (Prob: 0.007774)
  16. útil                 (Prob: 0.007774)
  17. horno                (Prob: 0.007774)
  18. durar                (Prob: 0.007774)
  19. dónde                (Prob: 0.007774)
  20. séptima              (Prob: 0.003906)

==================== TEMA 13 ====================
  1. mujer                (Prob: 0.200357)
  2. birkenau             (Prob: 0.080165)
  3. alambrada            (Prob: 0.025532)
  4. tiro                 (Prob: 0.021890)
  5. traer                (Prob: 0.021890)
  6. simple               (Prob: 0.021890)
  7. robar                (Prob: 0.021890)
  8. garganta             (Prob: 0.010963)
  9. escapado             (Prob: 0.010963)
  10. trabajo              (Prob: 0.010963)
  11. familiar             (Prob: 0.010963)
  12. llegase              (Prob: 0.007321)
  13. adulto               (Prob: 0.007321)
  14. andar                (Prob: 0.007321)
  15. gas                  (Prob: 0.007321)
  16. kilómetro            (Prob: 0.007321)
  17. trece                (Prob: 0.007321)
  18. botello              (Prob: 0.007321)
  19. turno                (Prob: 0.007321)
  20. salí                 (Prob: 0.007321)

==================== TEMA 14 ====================
  1. mes                  (Prob: 0.119772)
  2. persona              (Prob: 0.075870)
  3. fuerte               (Prob: 0.039951)
  4. encima               (Prob: 0.027977)
  5. tadek                (Prob: 0.023986)
  6. personal             (Prob: 0.019995)
  7. animal               (Prob: 0.019995)
  8. levantar             (Prob: 0.019995)
  9. libro                (Prob: 0.019995)
  10. metro                (Prob: 0.016004)
  11. distinto             (Prob: 0.012013)
  12. establecer           (Prob: 0.012013)
  13. atrevíar             (Prob: 0.008022)
  14. escén                (Prob: 0.008022)
  15. enviar               (Prob: 0.008022)
  16. exclamar             (Prob: 0.008022)
  17. capricho             (Prob: 0.008022)
  18. inyección            (Prob: 0.008022)
  19. insignia             (Prob: 0.008022)
  20. imaginar él          (Prob: 0.008022)

==================== TEMA 15 ====================
  1. día                  (Prob: 0.371435)
  2. visto                (Prob: 0.059723)
  3. tratamiento          (Prob: 0.053091)
  4. pequeño              (Prob: 0.013298)
  5. establecer           (Prob: 0.009981)
  6. exterminado          (Prob: 0.006665)
  7. pie                  (Prob: 0.006665)
  8. sometido             (Prob: 0.006665)
  9. generalmente         (Prob: 0.006665)
  10. mea                  (Prob: 0.006665)
  11. falda                (Prob: 0.006665)
  12. sabor                (Prob: 0.006665)
  13. resistencio          (Prob: 0.006665)
  14. charlatán            (Prob: 0.006665)
  15. tristeza             (Prob: 0.006665)
  16. conquista            (Prob: 0.003349)
  17. diferente            (Prob: 0.003349)
  18. velo                 (Prob: 0.003349)
  19. pedazo               (Prob: 0.003349)
  20. acompañado           (Prob: 0.003349)

==================== TEMA 16 ====================
  1. recibir              (Prob: 0.052198)
  2. peligro              (Prob: 0.041765)
  3. barraco              (Prob: 0.038288)
  4. raro                 (Prob: 0.034810)
  5. metro                (Prob: 0.024378)
  6. absolutamente        (Prob: 0.024378)
  7. información          (Prob: 0.020900)
  8. decisión             (Prob: 0.020900)
  9. hacer él             (Prob: 0.020900)
  10. cierto               (Prob: 0.020900)
  11. padre                (Prob: 0.017422)
  12. pronazi              (Prob: 0.017422)
  13. formación            (Prob: 0.013945)
  14. esperar              (Prob: 0.013945)
  15. frío                 (Prob: 0.013945)
  16. luchar               (Prob: 0.010467)
  17. situado              (Prob: 0.010467)
  18. policía              (Prob: 0.010467)
  19. experimentar         (Prob: 0.010467)
  20. dar él               (Prob: 0.010467)

==================== TEMA 17 ====================
  1. mejor                (Prob: 0.078819)
  2. vez                  (Prob: 0.067565)
  3. mismo                (Prob: 0.056310)
  4. dicho                (Prob: 0.037553)
  5. reich                (Prob: 0.026298)
  6. quirúrgico           (Prob: 0.015044)
  7. nariz                (Prob: 0.015044)
  8. menor                (Prob: 0.015044)
  9. bien                 (Prob: 0.015044)
  10. personalmente        (Prob: 0.011292)
  11. pagar                (Prob: 0.011292)
  12. sala                 (Prob: 0.011292)
  13. tropezar             (Prob: 0.011292)
  14. compañero            (Prob: 0.011292)
  15. adulto               (Prob: 0.007541)
  16. músico               (Prob: 0.007541)
  17. organizar            (Prob: 0.007541)
  18. garrot               (Prob: 0.007541)
  19. atrevir              (Prob: 0.007541)
  20. alta                 (Prob: 0.007541)

==================== TEMA 18 ====================
  1. barraca              (Prob: 0.094178)
  2. klein                (Prob: 0.075350)
  3. jefe                 (Prob: 0.048991)
  4. bastante             (Prob: 0.033928)
  5. doctora              (Prob: 0.030163)
  6. largo                (Prob: 0.026397)
  7. diente               (Prob: 0.026397)
  8. querer               (Prob: 0.018866)
  9. acerca               (Prob: 0.018866)
  10. armario              (Prob: 0.011335)
  11. desarrollar          (Prob: 0.011335)
  12. observar             (Prob: 0.011335)
  13. contenido            (Prob: 0.011335)
  14. nieve                (Prob: 0.011335)
  15. cort                 (Prob: 0.007569)
  16. cumplir              (Prob: 0.007569)
  17. compañía             (Prob: 0.007569)
  18. vuelco               (Prob: 0.007569)
  19. esconder             (Prob: 0.007569)
  20. liquidación          (Prob: 0.007569)

==================== TEMA 19 ====================
  1. médico               (Prob: 0.046152)
  2. dos                  (Prob: 0.041960)
  3. poder                (Prob: 0.029385)
  4. terror               (Prob: 0.029385)
  5. sacar                (Prob: 0.025193)
  6. mínimo               (Prob: 0.025193)
  7. comandante           (Prob: 0.021001)
  8. observación          (Prob: 0.016809)
  9. incidente            (Prob: 0.012617)
  10. absurdo              (Prob: 0.012617)
  11. causar               (Prob: 0.012617)
  12. personal             (Prob: 0.012617)
  13. tensión              (Prob: 0.012617)
  14. pobre                (Prob: 0.012617)
  15. visitar              (Prob: 0.012617)
  16. contestación         (Prob: 0.012617)
  17. tomé                 (Prob: 0.008426)
  18. jesús                (Prob: 0.008426)
  19. espacio              (Prob: 0.008426)
  20. botella              (Prob: 0.008426)

==================== TEMA 20 ====================
  1. niño                 (Prob: 0.072506)
  2. ocurrir              (Prob: 0.059329)
  3. perder               (Prob: 0.039564)
  4. capítulo             (Prob: 0.036270)
  5. varios               (Prob: 0.032975)
  6. necesitar            (Prob: 0.029681)
  7. echar                (Prob: 0.023093)
  8. rebaño               (Prob: 0.023093)
  9. labio                (Prob: 0.016504)
  10. escapar              (Prob: 0.013210)
  11. cometido             (Prob: 0.013210)
  12. trasladado           (Prob: 0.009916)
  13. cinco                (Prob: 0.009916)
  14. imaginación          (Prob: 0.009916)
  15. alma                 (Prob: 0.009916)
  16. reunir               (Prob: 0.009916)
  17. barraco              (Prob: 0.009916)
  18. moderno              (Prob: 0.009916)
  19. decírselo            (Prob: 0.006621)
  20. escapar él           (Prob: 0.006621)

==================== TEMA 21 ====================
  1. internado            (Prob: 0.148427)
  2. él                   (Prob: 0.070522)
  3. cautiverio           (Prob: 0.051974)
  4. escapar              (Prob: 0.026005)
  5. artículo             (Prob: 0.022296)
  6. visto                (Prob: 0.018586)
  7. allí                 (Prob: 0.014876)
  8. repetir              (Prob: 0.014876)
  9. pedazo               (Prob: 0.014876)
  10. noté                 (Prob: 0.011166)
  11. prensa               (Prob: 0.011166)
  12. niña                 (Prob: 0.007457)
  13. cerca                (Prob: 0.007457)
  14. liquidación          (Prob: 0.007457)
  15. asomar               (Prob: 0.007457)
  16. garrote              (Prob: 0.007457)
  17. venir                (Prob: 0.007457)
  18. labor                (Prob: 0.007457)
  19. caldera              (Prob: 0.007457)
  20. papel                (Prob: 0.007457)

==================== TEMA 22 ====================
  1. internado            (Prob: 0.119412)
  2. prisionera           (Prob: 0.072987)
  3. enferma              (Prob: 0.056407)
  4. terrible             (Prob: 0.033194)
  5. negar                (Prob: 0.029878)
  6. pesar                (Prob: 0.026562)
  7. capaz                (Prob: 0.019930)
  8. cámpiar              (Prob: 0.019930)
  9. horrible             (Prob: 0.016614)
  10. mañana               (Prob: 0.013298)
  11. arved                (Prob: 0.013298)
  12. niño                 (Prob: 0.009981)
  13. afuero               (Prob: 0.009981)
  14. siempre              (Prob: 0.009981)
  15. cárcel               (Prob: 0.009981)
  16. barraco              (Prob: 0.009981)
  17. blocova              (Prob: 0.009981)
  18. cristiano            (Prob: 0.009981)
  19. yo                   (Prob: 0.006665)
  20. murmurar             (Prob: 0.006665)

==================== TEMA 23 ====================
  1. interior             (Prob: 0.055472)
  2. nadie                (Prob: 0.051513)
  3. cuanto               (Prob: 0.035675)
  4. padre                (Prob: 0.035675)
  5. adoptar              (Prob: 0.027756)
  6. gesto                (Prob: 0.023796)
  7. increíble            (Prob: 0.023796)
  8. cirujano             (Prob: 0.015877)
  9. bota                 (Prob: 0.015877)
  10. quemar               (Prob: 0.015877)
  11. azul                 (Prob: 0.015877)
  12. semana               (Prob: 0.011918)
  13. paquete              (Prob: 0.011918)
  14. lugar                (Prob: 0.011918)
  15. conmigo              (Prob: 0.011918)
  16. locura               (Prob: 0.007959)
  17. adulto               (Prob: 0.007959)
  18. intolerable          (Prob: 0.007959)
  19. excelente            (Prob: 0.007959)
  20. describir            (Prob: 0.007959)

==================== TEMA 24 ====================
  1. judío                (Prob: 0.133107)
  2. ocurrir              (Prob: 0.077077)
  3. cierto               (Prob: 0.042058)
  4. ser                  (Prob: 0.042058)
  5. vivir                (Prob: 0.035054)
  6. viaje                (Prob: 0.028050)
  7. sano                 (Prob: 0.028050)
  8. prestar              (Prob: 0.021046)
  9. señal                (Prob: 0.017544)
  10. sólo                 (Prob: 0.014043)
  11. deportación          (Prob: 0.014043)
  12. basura               (Prob: 0.010541)
  13. vino                 (Prob: 0.010541)
  14. sarcástico           (Prob: 0.007039)
  15. horno                (Prob: 0.007039)
  16. importar             (Prob: 0.007039)
  17. científico           (Prob: 0.007039)
  18. inyección            (Prob: 0.007039)
  19. once                 (Prob: 0.007039)
  20. mirar                (Prob: 0.007039)

==================== TEMA 25 ====================
  1. barraco              (Prob: 0.083503)
  2. pensar               (Prob: 0.058100)
  3. niño                 (Prob: 0.050842)
  4. allí                 (Prob: 0.047213)
  5. según                (Prob: 0.043584)
  6. fondo                (Prob: 0.039955)
  7. olvidar              (Prob: 0.039955)
  8. lleno                (Prob: 0.036326)
  9. grave                (Prob: 0.032697)
  10. intervención         (Prob: 0.014552)
  11. encontré             (Prob: 0.010923)
  12. imaginar             (Prob: 0.010923)
  13. faltar               (Prob: 0.010923)
  14. salido               (Prob: 0.010923)
  15. prueba               (Prob: 0.010923)
  16. cortar               (Prob: 0.007294)
  17. realizado            (Prob: 0.007294)
  18. traer él             (Prob: 0.007294)
  19. recipient            (Prob: 0.007294)
  20. aplastar             (Prob: 0.007294)

==================== TEMA 26 ====================
  1. vez                  (Prob: 0.102176)
  2. conocer              (Prob: 0.035394)
  3. mayor                (Prob: 0.031466)
  4. zapato               (Prob: 0.023609)
  5. quinientos           (Prob: 0.023609)
  6. muestra              (Prob: 0.023609)
  7. ejecutar             (Prob: 0.019681)
  8. ocho                 (Prob: 0.019681)
  9. primero              (Prob: 0.019681)
  10. responsabilidad      (Prob: 0.015753)
  11. hermana              (Prob: 0.015753)
  12. necesidad            (Prob: 0.011824)
  13. pareja               (Prob: 0.011824)
  14. cigarrillo           (Prob: 0.011824)
  15. oído                 (Prob: 0.007896)
  16. rapidez              (Prob: 0.007896)
  17. dinero               (Prob: 0.007896)
  18. observar             (Prob: 0.007896)
  19. gong                 (Prob: 0.007896)
  20. trianón              (Prob: 0.007896)

==================== TEMA 27 ====================
  1. dos                  (Prob: 0.196774)
  2. poder                (Prob: 0.103770)
  3. parte                (Prob: 0.028652)
  4. barraco              (Prob: 0.028652)
  5. llenar               (Prob: 0.028652)
  6. bajo                 (Prob: 0.021498)
  7. idioma               (Prob: 0.021498)
  8. ocupado              (Prob: 0.014344)
  9. esperábar            (Prob: 0.014344)
  10. corriente            (Prob: 0.010767)
  11. advertir             (Prob: 0.007190)
  12. porfía               (Prob: 0.007190)
  13. inteligente          (Prob: 0.007190)
  14. base                 (Prob: 0.007190)
  15. novio                (Prob: 0.007190)
  16. látigo               (Prob: 0.007190)
  17. divertir él          (Prob: 0.007190)
  18. excepción            (Prob: 0.007190)
  19. jeringa              (Prob: 0.007190)
  20. koio                 (Prob: 0.003613)

==================== TEMA 28 ====================
  1. deportado            (Prob: 0.085125)
  2. quedar               (Prob: 0.065787)
  3. convertir            (Prob: 0.042582)
  4. físico               (Prob: 0.023244)
  5. frente               (Prob: 0.023244)
  6. misión               (Prob: 0.023244)
  7. látigo               (Prob: 0.019377)
  8. bestia               (Prob: 0.019377)
  9. efecto               (Prob: 0.015509)
  10. asesinato            (Prob: 0.015509)
  11. expresión            (Prob: 0.015509)
  12. perfectamente        (Prob: 0.015509)
  13. terrible             (Prob: 0.015509)
  14. ayer                 (Prob: 0.011641)
  15. exterminación        (Prob: 0.011641)
  16. doctrina             (Prob: 0.011641)
  17. fila                 (Prob: 0.011641)
  18. dirigir              (Prob: 0.011641)
  19. desorientar          (Prob: 0.011641)
  20. esperar              (Prob: 0.007774)

==================== TEMA 29 ====================
  1. pobre                (Prob: 0.081891)
  2. tres                 (Prob: 0.081891)
  3. diario               (Prob: 0.046812)
  4. ver él               (Prob: 0.031221)
  5. enviar               (Prob: 0.023425)
  6. hoy                  (Prob: 0.019528)
  7. cuidado              (Prob: 0.019528)
  8. cincuenta            (Prob: 0.015630)
  9. aquel                (Prob: 0.015630)
  10. siguiente            (Prob: 0.011732)
  11. diverso              (Prob: 0.011732)
  12. valor                (Prob: 0.011732)
  13. base                 (Prob: 0.011732)
  14. alambrada            (Prob: 0.011732)
  15. diferente            (Prob: 0.011732)
  16. condenado            (Prob: 0.007834)
  17. ridículo             (Prob: 0.007834)
  18. cristiano            (Prob: 0.007834)
  19. acercar él           (Prob: 0.007834)
  20. ordenar              (Prob: 0.007834)

==================== TEMA 30 ====================
  1. momento              (Prob: 0.112065)
  2. mucho                (Prob: 0.101881)
  3. esposo               (Prob: 0.037378)
  4. lado                 (Prob: 0.027193)
  5. alrededor            (Prob: 0.023798)
  6. continuar            (Prob: 0.023798)
  7. desnudo              (Prob: 0.023798)
  8. decidir              (Prob: 0.017008)
  9. ejemplo              (Prob: 0.013614)
  10. insistir             (Prob: 0.013614)
  11. usar                 (Prob: 0.013614)
  12. cristiano            (Prob: 0.013614)
  13. crudo                (Prob: 0.010219)
  14. prisa                (Prob: 0.010219)
  15. descargar            (Prob: 0.010219)
  16. atestado             (Prob: 0.006824)
  17. precisamente         (Prob: 0.006824)
  18. librar               (Prob: 0.006824)
  19. inmediato            (Prob: 0.006824)
  20. índice               (Prob: 0.006824)

==================== TEMA 31 ====================
  1. dejar                (Prob: 0.079585)
  2. médico               (Prob: 0.061506)
  3. sólo                 (Prob: 0.054274)
  4. campo                (Prob: 0.036195)
  5. padr                 (Prob: 0.028963)
  6. pasado               (Prob: 0.021731)
  7. horrible             (Prob: 0.021731)
  8. recuperación         (Prob: 0.018115)
  9. descanso             (Prob: 0.018115)
  10. riqueza              (Prob: 0.010884)
  11. seis                 (Prob: 0.010884)
  12. dolor                (Prob: 0.010884)
  13. igualmente           (Prob: 0.010884)
  14. empezar              (Prob: 0.010884)
  15. elevar               (Prob: 0.010884)
  16. año                  (Prob: 0.007268)
  17. pelo                 (Prob: 0.007268)
  18. atrapar              (Prob: 0.007268)
  19. elemental            (Prob: 0.007268)
  20. desgraciado          (Prob: 0.007268)

==================== TEMA 32 ====================
  1. llevar               (Prob: 0.132435)
  2. buen                 (Prob: 0.061142)
  3. quedar               (Prob: 0.050957)
  4. jamás                (Prob: 0.037378)
  5. anterior             (Prob: 0.027193)
  6. trabajador           (Prob: 0.020403)
  7. prueba               (Prob: 0.020403)
  8. sucio                (Prob: 0.020403)
  9. motivo               (Prob: 0.017008)
  10. consistir            (Prob: 0.017008)
  11. alemán               (Prob: 0.013614)
  12. apilado              (Prob: 0.010219)
  13. ferrocarril          (Prob: 0.010219)
  14. saco                 (Prob: 0.010219)
  15. nación               (Prob: 0.010219)
  16. venir                (Prob: 0.010219)
  17. físico               (Prob: 0.006824)
  18. junto                (Prob: 0.006824)
  19. tierro               (Prob: 0.006824)
  20. rescatar             (Prob: 0.006824)

==================== TEMA 33 ====================
  1. víctima              (Prob: 0.068396)
  2. enfermeer            (Prob: 0.047888)
  3. tal                  (Prob: 0.047888)
  4. griese               (Prob: 0.034215)
  5. enferma              (Prob: 0.034215)
  6. así                  (Prob: 0.027379)
  7. morir                (Prob: 0.023961)
  8. cualquiera           (Prob: 0.020543)
  9. grito                (Prob: 0.017125)
  10. cuyo                 (Prob: 0.017125)
  11. cada                 (Prob: 0.013707)
  12. ración               (Prob: 0.013707)
  13. semana               (Prob: 0.013707)
  14. operar               (Prob: 0.013707)
  15. mitad                (Prob: 0.010288)
  16. perecer              (Prob: 0.010288)
  17. anterior             (Prob: 0.010288)
  18. tiempo               (Prob: 0.010288)
  19. ocasión              (Prob: 0.010288)
  20. embargo              (Prob: 0.010288)

==================== TEMA 34 ====================
  1. año                  (Prob: 0.069746)
  2. cluj                 (Prob: 0.047733)
  3. lágrima              (Prob: 0.036726)
  4. mano                 (Prob: 0.036726)
  5. nuevo                (Prob: 0.029388)
  6. ser                  (Prob: 0.025719)
  7. ninguno              (Prob: 0.022050)
  8. espalda              (Prob: 0.022050)
  9. funcionar            (Prob: 0.018381)
  10. agua                 (Prob: 0.014712)
  11. asistir              (Prob: 0.011043)
  12. cuidar               (Prob: 0.011043)
  13. obedecer             (Prob: 0.011043)
  14. constituir           (Prob: 0.011043)
  15. jornada              (Prob: 0.011043)
  16. ancho                (Prob: 0.011043)
  17. palabra              (Prob: 0.007375)
  18. perdido              (Prob: 0.007375)
  19. tardar               (Prob: 0.007375)
  20. empeñar              (Prob: 0.007375)

==================== TEMA 35 ====================
  1. ser                  (Prob: 0.320687)
