--- ANÁLISIS DE TEMAS LDA (K=60) ---

==================== TEMA 0 ====================
  1. parte                (Prob: 0.098960)
  2. tal                  (Prob: 0.069695)
  3. víctima              (Prob: 0.054365)
  4. campo                (Prob: 0.043216)
  5. capaz                (Prob: 0.033461)
  6. seleccionado         (Prob: 0.023705)
  7. cambiar              (Prob: 0.022312)
  8. noticia              (Prob: 0.019524)
  9. deber                (Prob: 0.018131)
  10. tocar                (Prob: 0.018131)
  11. sopa                 (Prob: 0.016737)
  12. mayor                (Prob: 0.015344)
  13. quedar él            (Prob: 0.013950)
  14. presencia            (Prob: 0.013950)
  15. falta                (Prob: 0.012556)
  16. ír                   (Prob: 0.011163)
  17. estación             (Prob: 0.008376)
  18. bello                (Prob: 0.008376)
  19. alimentación         (Prob: 0.008376)
  20. ahorrar              (Prob: 0.006982)

==================== TEMA 1 ====================
  1. campo                (Prob: 0.352926)
  2. allí                 (Prob: 0.052605)
  3. doctora              (Prob: 0.034613)
  4. enorme               (Prob: 0.018005)
  5. verdaderamente       (Prob: 0.016621)
  6. morir                (Prob: 0.011086)
  7. periodo              (Prob: 0.011086)
  8. irmar                (Prob: 0.011086)
  9. hora                 (Prob: 0.009702)
  10. andrajo              (Prob: 0.009702)
  11. trasladar            (Prob: 0.008318)
  12. cargar               (Prob: 0.008318)
  13. totalmente           (Prob: 0.008318)
  14. energía              (Prob: 0.008318)
  15. ancho                (Prob: 0.008318)
  16. pedazo               (Prob: 0.006934)
  17. individuo            (Prob: 0.006934)
  18. considerable         (Prob: 0.006934)
  19. encerrado            (Prob: 0.006934)
  20. tatuado              (Prob: 0.006934)

==================== TEMA 2 ====================
  1. mismo                (Prob: 0.172747)
  2. barraca              (Prob: 0.055110)
  3. cabo                 (Prob: 0.046176)
  4. marido               (Prob: 0.037242)
  5. utilizar             (Prob: 0.034264)
  6. criminal             (Prob: 0.020862)
  7. sentimiento          (Prob: 0.017884)
  8. medicina             (Prob: 0.014906)
  9. importar             (Prob: 0.014906)
  10. privilegio           (Prob: 0.013417)
  11. futuro               (Prob: 0.013417)
  12. descubrir            (Prob: 0.011927)
  13. ver él               (Prob: 0.010438)
  14. manta                (Prob: 0.010438)
  15. traté                (Prob: 0.008949)
  16. ar                   (Prob: 0.008949)
  17. sufrir               (Prob: 0.008949)
  18. comprender           (Prob: 0.008949)
  19. especificar          (Prob: 0.007460)
  20. niño                 (Prob: 0.007460)

==================== TEMA 3 ====================
  1. llevar               (Prob: 0.167751)
  2. alemán               (Prob: 0.108465)
  3. nuevo                (Prob: 0.049179)
  4. gente                (Prob: 0.036165)
  5. frente               (Prob: 0.030381)
  6. capítulo             (Prob: 0.020259)
  7. trabajador           (Prob: 0.015921)
  8. lado                 (Prob: 0.015921)
  9. verdadero            (Prob: 0.015921)
  10. etcétera             (Prob: 0.014475)
  11. existir              (Prob: 0.013029)
  12. mucho                (Prob: 0.013029)
  13. interesar            (Prob: 0.010137)
  14. barraca              (Prob: 0.010137)
  15. ocupación            (Prob: 0.008690)
  16. tardar               (Prob: 0.008690)
  17. lugar                (Prob: 0.007244)
  18. trasladado           (Prob: 0.007244)
  19. persecución          (Prob: 0.007244)
  20. aguantar             (Prob: 0.007244)

==================== TEMA 4 ====================
  1. hombre               (Prob: 0.131903)
  2. siempre              (Prob: 0.061658)
  3. hecho                (Prob: 0.055924)
  4. llamado              (Prob: 0.040154)
  5. movimiento           (Prob: 0.035854)
  6. alguno               (Prob: 0.025819)
  7. indicar              (Prob: 0.024385)
  8. día                  (Prob: 0.021518)
  9. camino               (Prob: 0.020084)
  10. nazi                 (Prob: 0.015784)
  11. mundo                (Prob: 0.012916)
  12. sentir               (Prob: 0.012916)
  13. piojo                (Prob: 0.012916)
  14. rubio                (Prob: 0.012916)
  15. acusar               (Prob: 0.010049)
  16. empujar              (Prob: 0.010049)
  17. uno                  (Prob: 0.010049)
  18. especial             (Prob: 0.008616)
  19. trasladar            (Prob: 0.008616)
  20. interrogatorio       (Prob: 0.007182)

==================== TEMA 5 ====================
  1. doctor               (Prob: 0.261751)
  2. usted                (Prob: 0.087259)
  3. haber                (Prob: 0.042273)
  4. hacia                (Prob: 0.032731)
  5. contar               (Prob: 0.032731)
  6. saber                (Prob: 0.024552)
  7. raro                 (Prob: 0.016372)
  8. deseo                (Prob: 0.016372)
  9. conducido            (Prob: 0.012283)
  10. decir él             (Prob: 0.010919)
  11. capezius             (Prob: 0.010919)
  12. frecuencia           (Prob: 0.010919)
  13. hermoso              (Prob: 0.009556)
  14. fácil                (Prob: 0.009556)
  15. sucio                (Prob: 0.008193)
  16. esconder él          (Prob: 0.008193)
  17. mano                 (Prob: 0.008193)
  18. responsabilidad      (Prob: 0.008193)
  19. encargado            (Prob: 0.006830)
  20. relativo             (Prob: 0.006830)

==================== TEMA 6 ====================
  1. después              (Prob: 0.097765)
  2. hablar               (Prob: 0.089619)
  3. vido                 (Prob: 0.033955)
  4. tú                   (Prob: 0.027167)
  5. olvidar              (Prob: 0.024452)
  6. cuatro               (Prob: 0.023094)
  7. salvar               (Prob: 0.023094)
  8. blanco               (Prob: 0.021736)
  9. disponer             (Prob: 0.019021)
  10. entonces             (Prob: 0.019021)
  11. probablemente        (Prob: 0.013590)
  12. continuar            (Prob: 0.013590)
  13. arreglar             (Prob: 0.010875)
  14. asombro              (Prob: 0.010875)
  15. perfectamente        (Prob: 0.009517)
  16. malo                 (Prob: 0.009517)
