--- ANÁLISIS DE TEMAS LDA (K=50) ---

==================== TEMA 0 ====================
  1. esperar              (Prob: 0.078999)
  2. trabajo              (Prob: 0.065262)
  3. morir                (Prob: 0.041222)
  4. objeto               (Prob: 0.038933)
  5. caso                 (Prob: 0.025196)
  6. diario               (Prob: 0.019472)
  7. centinela            (Prob: 0.018327)
  8. negar                (Prob: 0.017183)
  9. contestar            (Prob: 0.017183)
  10. kramer               (Prob: 0.014893)
  11. este                 (Prob: 0.013748)
  12. lleno                (Prob: 0.012604)
  13. llenar               (Prob: 0.012604)
  14. además               (Prob: 0.012604)
  15. color                (Prob: 0.012604)
  16. desnudo              (Prob: 0.011459)
  17. ocupar               (Prob: 0.011459)
  18. bloque               (Prob: 0.011459)
  19. nombre               (Prob: 0.011459)
  20. loco                 (Prob: 0.010314)

==================== TEMA 1 ====================
  1. campo                (Prob: 0.074991)
  2. cosa                 (Prob: 0.070075)
  3. haber                (Prob: 0.046721)
  4. tal                  (Prob: 0.038116)
  5. ver                  (Prob: 0.033200)
  6. manera               (Prob: 0.029512)
  7. tren                 (Prob: 0.029512)
  8. cautiverio           (Prob: 0.020908)
  9. delante              (Prob: 0.017221)
  10. además               (Prob: 0.017221)
  11. padecer              (Prob: 0.014762)
  12. tadek                (Prob: 0.013533)
  13. marido               (Prob: 0.011075)
  14. alambrada            (Prob: 0.011075)
  15. paso                 (Prob: 0.011075)
  16. bueno                (Prob: 0.011075)
  17. ángel                (Prob: 0.011075)
  18. andar                (Prob: 0.009846)
  19. proporcionar         (Prob: 0.009846)
  20. resistencia          (Prob: 0.008616)

==================== TEMA 2 ====================
  1. quedar               (Prob: 0.099945)
  2. noche                (Prob: 0.083290)
  3. ojo                  (Prob: 0.057117)
  4. fin                  (Prob: 0.049979)
  5. ahora                (Prob: 0.035702)
  6. puerta               (Prob: 0.034513)
  7. corazón              (Prob: 0.027375)
  8. ejemplo              (Prob: 0.020237)
  9. buscar               (Prob: 0.019047)
  10. blanco               (Prob: 0.019047)
  11. anterior             (Prob: 0.017857)
  12. brazo                (Prob: 0.017857)
  13. raro                 (Prob: 0.015478)
  14. duro                 (Prob: 0.013098)
  15. cincuenta            (Prob: 0.011909)
  16. lágrima              (Prob: 0.011909)
  17. esposa               (Prob: 0.011909)
  18. aire                 (Prob: 0.011909)
  19. olvidar              (Prob: 0.009529)
  20. decir él             (Prob: 0.009529)

==================== TEMA 3 ====================
  1. después              (Prob: 0.091749)
  2. dar                  (Prob: 0.048938)
  3. pensar               (Prob: 0.044046)
  4. seguir               (Prob: 0.039153)
  5. lugar                (Prob: 0.036707)
  6. noticia              (Prob: 0.034260)
  7. alguno               (Prob: 0.025698)
  8. motivo               (Prob: 0.018360)
  9. nadie                (Prob: 0.018360)
  10. matar                (Prob: 0.015913)
  11. trasladado           (Prob: 0.009797)
  12. cargado              (Prob: 0.008574)
  13. significar           (Prob: 0.008574)
  14. labio                (Prob: 0.007351)
  15. elemento             (Prob: 0.007351)
  16. intervención         (Prob: 0.007351)
  17. declarado            (Prob: 0.007351)
  18. ejecutar             (Prob: 0.007351)
  19. beber                (Prob: 0.007351)
  20. gota                 (Prob: 0.006128)

==================== TEMA 4 ====================
  1. así                  (Prob: 0.069732)
  2. mejor                (Prob: 0.057500)
  3. capaz                (Prob: 0.036707)
  4. persona              (Prob: 0.029368)
  5. echar                (Prob: 0.023252)
  6. tocar                (Prob: 0.018360)
  7. horno                (Prob: 0.015913)
  8. escapar              (Prob: 0.015913)
  9. fuerte               (Prob: 0.014690)
  10. trasladar            (Prob: 0.014690)
  11. grave                (Prob: 0.014690)
  12. seguido              (Prob: 0.012244)
  13. caber                (Prob: 0.012244)
  14. desgraciado          (Prob: 0.012244)
  15. capezius             (Prob: 0.011021)
  16. repente              (Prob: 0.009797)
  17. informar             (Prob: 0.009797)
  18. simple               (Prob: 0.008574)
  19. pena                 (Prob: 0.008574)
  20. verano               (Prob: 0.008574)

==================== TEMA 5 ====================
  1. parte                (Prob: 0.089258)
  2. momento              (Prob: 0.051549)
  3. mes                  (Prob: 0.045264)
  4. sino                 (Prob: 0.044007)
  5. persona              (Prob: 0.028923)
  6. uno                  (Prob: 0.027666)
  7. conseguir            (Prob: 0.022638)
  8. americano            (Prob: 0.021381)
  9. demá                 (Prob: 0.020124)
  10. resultar             (Prob: 0.020124)
  11. peligro              (Prob: 0.020124)
  12. plan                 (Prob: 0.018867)
  13. allí                 (Prob: 0.018867)
  14. disponer             (Prob: 0.013839)
  15. obligación           (Prob: 0.011325)
  16. mantener             (Prob: 0.011325)
  17. comenzar             (Prob: 0.011325)
  18. contener             (Prob: 0.010068)
  19. alambrado            (Prob: 0.010068)
  20. desarrollar          (Prob: 0.008811)

==================== TEMA 6 ====================
  1. llevar               (Prob: 0.145054)
  2. empezar              (Prob: 0.050408)
  3. puesto               (Prob: 0.030741)
  4. soldado              (Prob: 0.027054)
  5. ordenar              (Prob: 0.027054)
  6. edificio             (Prob: 0.019679)
  7. terrible             (Prob: 0.018450)
  8. través               (Prob: 0.017221)
  9. así                  (Prob: 0.017221)
  10. líquido              (Prob: 0.015991)
  11. ofrecer              (Prob: 0.014762)
  12. libre                (Prob: 0.014762)
  13. turno                (Prob: 0.014762)
  14. distinto             (Prob: 0.013533)
  15. principal            (Prob: 0.013533)
  16. ambulancia           (Prob: 0.012304)
  17. consecuencia         (Prob: 0.012304)
  18. enviado              (Prob: 0.009846)
  19. piel                 (Prob: 0.009846)
  20. evacuatorio          (Prob: 0.009846)

==================== TEMA 7 ====================
  1. allí                 (Prob: 0.077882)
  2. alguno               (Prob: 0.063724)
  3. dar                  (Prob: 0.059005)
