--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  1. quijote              (Prob: 0.204914)
  2. replicar             (Prob: 0.074009)
  3. aquel                (Prob: 0.055037)
  4. decir                (Prob: 0.028477)
  5. vués                 (Prob: 0.018991)
  6. hacienda             (Prob: 0.017094)
  7. hincar               (Prob: 0.015196)
  8. tampoco              (Prob: 0.009505)
  9. asir él              (Prob: 0.009505)
  10. panza                (Prob: 0.007608)
  11. medio                (Prob: 0.007608)
  12. refrán               (Prob: 0.007608)
  13. nacer                (Prob: 0.007608)
  14. mal                  (Prob: 0.007608)
  15. sacerdote            (Prob: 0.005710)
  16. suerte               (Prob: 0.005710)
  17. art                  (Prob: 0.005710)
  18. sol                  (Prob: 0.005710)
  19. escrebir             (Prob: 0.005710)
  20. asió                 (Prob: 0.005710)

==================== TEMA 1 ====================
  1. della                (Prob: 0.053649)
  2. volver               (Prob: 0.047903)
  3. hijo                 (Prob: 0.047903)
  4. echar                (Prob: 0.047903)
  5. casa                 (Prob: 0.045987)
  6. oro                  (Prob: 0.044072)
  7. mirad                (Prob: 0.038326)
  8. gigante              (Prob: 0.034495)
  9. descuido             (Prob: 0.019173)
  10. vencimiento          (Prob: 0.019173)
  11. negocio              (Prob: 0.015342)
  12. jurar                (Prob: 0.013427)
  13. honra                (Prob: 0.013427)
  14. parecido             (Prob: 0.013427)
  15. estar él             (Prob: 0.011511)
  16. destir               (Prob: 0.011511)
  17. pensamiento          (Prob: 0.011511)
  18. alzar                (Prob: 0.009596)
  19. imaginar             (Prob: 0.009596)
  20. ayuda                (Prob: 0.007681)

==================== TEMA 2 ====================
  1. gobernador           (Prob: 0.076475)
  2. muerte               (Prob: 0.062752)
  3. palabra              (Prob: 0.058832)
  4. andar                (Prob: 0.056871)
  5. enamorado            (Prob: 0.039228)
  6. vuelto               (Prob: 0.033346)
  7. imaginar             (Prob: 0.029426)
  8. representar          (Prob: 0.027465)
  9. rostro               (Prob: 0.019624)
  10. alzar                (Prob: 0.019624)
  11. visto                (Prob: 0.017663)
  12. pelo                 (Prob: 0.009822)
  13. hablado              (Prob: 0.009822)
  14. prenda               (Prob: 0.007861)
  15. descubrir            (Prob: 0.007861)
  16. tuerto               (Prob: 0.007861)
  17. poderoso             (Prob: 0.007861)
  18. toma                 (Prob: 0.005901)
  19. infierno             (Prob: 0.005901)
  20. cortes               (Prob: 0.005901)

==================== TEMA 3 ====================
  1. decir                (Prob: 0.203017)
  2. palabra              (Prob: 0.106261)
  3. conocer              (Prob: 0.075906)
  4. acaso                (Prob: 0.013299)
  5. desta                (Prob: 0.011402)
  6. entretener           (Prob: 0.011402)
  7. mar                  (Prob: 0.009505)
  8. encantamento         (Prob: 0.009505)
  9. usanza               (Prob: 0.009505)
  10. negocio              (Prob: 0.007608)
  11. fuerte               (Prob: 0.007608)
  12. crecer               (Prob: 0.007608)
  13. merecer              (Prob: 0.005710)
  14. coral                (Prob: 0.005710)
  15. asimesmo             (Prob: 0.005710)
  16. encina               (Prob: 0.005710)
  17. ejecución            (Prob: 0.005710)
  18. rodeo                (Prob: 0.005710)
  19. vulgo                (Prob: 0.005710)
  20. misericordia         (Prob: 0.005710)

==================== TEMA 4 ====================
  1. padre                (Prob: 0.080749)
  2. luego                (Prob: 0.068330)
  3. azot                 (Prob: 0.066260)
  4. faltar               (Prob: 0.053840)
  5. libro                (Prob: 0.041420)
  6. paciencia            (Prob: 0.020720)
  7. antiguo              (Prob: 0.016580)
  8. digno                (Prob: 0.016580)
  9. pan                  (Prob: 0.014510)
  10. encantador           (Prob: 0.014510)
  11. ganado               (Prob: 0.014510)
  12. acertar              (Prob: 0.012440)
  13. vee                  (Prob: 0.012440)
  14. quienqueír           (Prob: 0.010371)
  15. asido                (Prob: 0.010371)
  16. determinar           (Prob: 0.008301)
  17. arroba               (Prob: 0.008301)
  18. francia              (Prob: 0.008301)
  19. mulo                 (Prob: 0.008301)
  20. pierna               (Prob: 0.006231)

==================== TEMA 5 ====================
  1. mujer                (Prob: 0.125457)
  2. gracioso             (Prob: 0.049825)
  3. volver               (Prob: 0.044291)
  4. señora               (Prob: 0.042446)
  5. mancha               (Prob: 0.040601)
  6. verdad               (Prob: 0.027689)
  7. verde                (Prob: 0.025844)
  8. miedo                (Prob: 0.025844)
  9. recibir              (Prob: 0.020310)
  10. quijote              (Prob: 0.018465)
  11. merced               (Prob: 0.016621)
  12. dorotear             (Prob: 0.014776)
  13. pesadumbre           (Prob: 0.012931)
  14. preguntado           (Prob: 0.011087)
  15. voluntad             (Prob: 0.011087)
  16. grisóstomo           (Prob: 0.009242)
  17. usado                (Prob: 0.009242)
  18. mirar él             (Prob: 0.007397)
  19. desconsolado         (Prob: 0.007397)
  20. pasear               (Prob: 0.007397)

==================== TEMA 6 ====================
  1. gran                 (Prob: 0.143670)
  2. manera               (Prob: 0.097702)
  3. hacer                (Prob: 0.067056)
  4. visto                (Prob: 0.021088)
  5. pregunta             (Prob: 0.017257)
  6. guardar              (Prob: 0.013427)
  7. marqués              (Prob: 0.013427)
  8. espejo               (Prob: 0.011511)
  9. tajo                 (Prob: 0.011511)
  10. derecho              (Prob: 0.011511)
  11. encantado            (Prob: 0.009596)
  12. quisier              (Prob: 0.007681)
  13. vuelta               (Prob: 0.007681)
  14. mantua               (Prob: 0.007681)
  15. mercedes             (Prob: 0.007681)
  16. doncellas            (Prob: 0.007681)
  17. amanecer             (Prob: 0.005765)
  18. poderoso             (Prob: 0.005765)
  19. infierno             (Prob: 0.005765)
  20. siéndolo             (Prob: 0.005765)

==================== TEMA 7 ====================
  1. sino                 (Prob: 0.230289)
  2. edad                 (Prob: 0.043318)
  3. vués                 (Prob: 0.031510)
  4. padre                (Prob: 0.027573)
  5. españa               (Prob: 0.017733)
  6. quizá                (Prob: 0.011828)
  7. malambruno           (Prob: 0.009860)
  8. balcón               (Prob: 0.009860)
  9. justicia             (Prob: 0.009860)
  10. aposento             (Prob: 0.009860)
  11. ir                   (Prob: 0.007892)
  12. amado                (Prob: 0.007892)
  13. apear                (Prob: 0.007892)
  14. tripa                (Prob: 0.007892)
  15. vuesar               (Prob: 0.007892)
  16. menudear             (Prob: 0.007892)
  17. ociosidad            (Prob: 0.007892)
  18. puestos              (Prob: 0.005924)
  19. poeta                (Prob: 0.005924)
  20. escucha              (Prob: 0.005924)

==================== TEMA 8 ====================
  1. quedar               (Prob: 0.130031)
  2. parte                (Prob: 0.104395)
  3. faltar               (Prob: 0.091577)
  4. reino                (Prob: 0.034810)
  5. bien                 (Prob: 0.027486)
  6. servir               (Prob: 0.023823)
  7. verdaderamente       (Prob: 0.018330)
  8. mire                 (Prob: 0.016499)
  9. amo                  (Prob: 0.014668)
  10. poder                (Prob: 0.014668)
  11. traído               (Prob: 0.011005)
  12. siquiera             (Prob: 0.009174)
  13. cinco                (Prob: 0.009174)
  14. burla                (Prob: 0.009174)
  15. satisfecho           (Prob: 0.009174)
  16. perdido              (Prob: 0.005512)
  17. diverso              (Prob: 0.005512)
  18. carnero              (Prob: 0.005512)
  19. roldán               (Prob: 0.005512)
  20. agravio              (Prob: 0.005512)

==================== TEMA 9 ====================
  1. responder            (Prob: 0.340462)
  2. quién                (Prob: 0.066543)
  3. veinte               (Prob: 0.025455)
  4. tonto                (Prob: 0.013716)
  5. detener              (Prob: 0.011759)
  6. presencia            (Prob: 0.011759)
  7. zoraido              (Prob: 0.009802)
  8. brazo                (Prob: 0.009802)
  9. hallo                (Prob: 0.009802)
  10. infinito             (Prob: 0.007846)
  11. patente              (Prob: 0.005889)
  12. todo                 (Prob: 0.005889)
  13. juzgado              (Prob: 0.005889)
  14. ninguna              (Prob: 0.003933)
  15. platar               (Prob: 0.003933)
  16. celebrar             (Prob: 0.003933)
  17. miedo                (Prob: 0.003933)
  18. manifiesto           (Prob: 0.003933)
  19. azotarme             (Prob: 0.003933)
  20. mundir               (Prob: 0.003933)

==================== TEMA 10 ====================
  1. don                  (Prob: 0.180023)
  2. contar               (Prob: 0.052847)
  3. gigante              (Prob: 0.046977)
  4. aquí                 (Prob: 0.046977)
  5. haber él             (Prob: 0.019585)
  6. topar                (Prob: 0.013716)
  7. santo                (Prob: 0.013716)
  8. leandra              (Prob: 0.013716)
  9. lacayo               (Prob: 0.013716)
  10. apear él             (Prob: 0.011759)
  11. apriés               (Prob: 0.009802)
  12. haré                 (Prob: 0.009802)
  13. soñar                (Prob: 0.009802)
  14. admiración           (Prob: 0.007846)
  15. liberalidad          (Prob: 0.007846)
  16. prudencia            (Prob: 0.005889)
  17. doy                  (Prob: 0.005889)
  18. torralba             (Prob: 0.005889)
  19. robar                (Prob: 0.005889)
  20. comar                (Prob: 0.005889)

==================== TEMA 11 ====================
  1. buen                 (Prob: 0.146993)
  2. deber                (Prob: 0.079308)
  3. suceso               (Prob: 0.063837)
  4. debajo               (Prob: 0.052234)
  5. abrir                (Prob: 0.029027)
  6. dónde                (Prob: 0.023226)
  7. hoy                  (Prob: 0.017424)
  8. ánimo                (Prob: 0.015490)
  9. echar                (Prob: 0.013556)
  10. hacer yo             (Prob: 0.011623)
  11. legua                (Prob: 0.011623)
  12. poeta                (Prob: 0.009689)
  13. trifaldín            (Prob: 0.009689)
  14. causa                (Prob: 0.009689)
  15. mudo                 (Prob: 0.007755)
  16. partir               (Prob: 0.007755)
  17. tierra               (Prob: 0.007755)
  18. espaldar             (Prob: 0.005821)
  19. mozo                 (Prob: 0.005821)
  20. solicitar            (Prob: 0.005821)

==================== TEMA 12 ====================
  1. don                  (Prob: 0.380545)
  2. antonio              (Prob: 0.035460)
  3. preguntar            (Prob: 0.027999)
  4. detener              (Prob: 0.011211)
  5. cardenio             (Prob: 0.011211)
  6. arremeteír           (Prob: 0.011211)
  7. ahorcar              (Prob: 0.007480)
  8. defender él          (Prob: 0.007480)
  9. dorotea              (Prob: 0.007480)
  10. despecho             (Prob: 0.005615)
  11. pongo                (Prob: 0.005615)
  12. testamento           (Prob: 0.005615)
  13. sobrar               (Prob: 0.005615)
  14. preguntéle           (Prob: 0.005615)
  15. voto                 (Prob: 0.005615)
  16. edad                 (Prob: 0.005615)
  17. gemido               (Prob: 0.005615)
  18. quedado              (Prob: 0.005615)
  19. venturoso            (Prob: 0.003749)
  20. olvido               (Prob: 0.003749)

==================== TEMA 13 ====================
  1. señor                (Prob: 0.266505)
  2. soler                (Prob: 0.033087)
  3. sentar               (Prob: 0.025306)
  4. caballo              (Prob: 0.023361)
  5. ojo                  (Prob: 0.015581)
  6. ventana              (Prob: 0.013635)
  7. instante             (Prob: 0.011690)
  8. autor                (Prob: 0.011690)
  9. llamado              (Prob: 0.009745)
  10. dedo                 (Prob: 0.009745)
  11. lejos                (Prob: 0.009745)
  12. muestra              (Prob: 0.009745)
  13. casa                 (Prob: 0.009745)
  14. sentado              (Prob: 0.007800)
  15. merlín               (Prob: 0.007800)
  16. liso                 (Prob: 0.007800)
  17. aposento             (Prob: 0.007800)
  18. llegado              (Prob: 0.007800)
  19. transformación       (Prob: 0.005855)
  20. estricote            (Prob: 0.005855)

==================== TEMA 14 ====================
  1. pensar               (Prob: 0.108650)
  2. buen                 (Prob: 0.102615)
  3. cardenio             (Prob: 0.058358)
  4. vivo                 (Prob: 0.036230)
  5. historia             (Prob: 0.034218)
  6. diablo               (Prob: 0.026172)
  7. natural              (Prob: 0.024160)
  8. ventera              (Prob: 0.020137)
  9. bestia               (Prob: 0.010078)
  10. partir               (Prob: 0.010078)
  11. hacha                (Prob: 0.010078)
  12. partido              (Prob: 0.010078)
  13. pasar                (Prob: 0.008067)
  14. respondido           (Prob: 0.008067)
  15. boca                 (Prob: 0.008067)
  16. sayo                 (Prob: 0.008067)
  17. tampoco              (Prob: 0.008067)
  18. humildad             (Prob: 0.008067)
  19. cuadrillero          (Prob: 0.008067)
  20. cualquiera           (Prob: 0.006055)

==================== TEMA 15 ====================
  1. merced               (Prob: 0.152407)
  2. responder            (Prob: 0.126389)
  3. cuanto               (Prob: 0.089221)
  4. casi                 (Prob: 0.022319)
  5. alguno               (Prob: 0.014886)
  6. parécemir            (Prob: 0.013027)
  7. santo                (Prob: 0.013027)
  8. fuerza               (Prob: 0.013027)
  9. quitado              (Prob: 0.011169)
  10. blanco               (Prob: 0.011169)
  11. ejercicio            (Prob: 0.011169)
  12. mediano              (Prob: 0.009311)
  13. escudero             (Prob: 0.009311)
  14. voz                  (Prob: 0.009311)
  15. hermosuro            (Prob: 0.007452)
  16. hermosura            (Prob: 0.007452)
  17. despertar            (Prob: 0.005594)
  18. montero              (Prob: 0.005594)
  19. tesoro               (Prob: 0.005594)
