--- ANÁLISIS DE TEMAS LDA (K=80) ---

==================== TEMA 0 ====================
  1. parte                (Prob: 0.122728)
  2. sentir               (Prob: 0.051787)
  3. capaz                (Prob: 0.046035)
  4. campo                (Prob: 0.034531)
  5. día                  (Prob: 0.030696)
  6. hecho                (Prob: 0.019192)
  7. efecto               (Prob: 0.017275)
  8. falta                (Prob: 0.017275)
  9. alimentación         (Prob: 0.011523)
  10. ar                   (Prob: 0.011523)
  11. cuánto               (Prob: 0.011523)
  12. bello                (Prob: 0.011523)
  13. sopa                 (Prob: 0.009606)
  14. estación             (Prob: 0.009606)
  15. mesa                 (Prob: 0.009606)
  16. amenaza              (Prob: 0.009606)
  17. niño                 (Prob: 0.007688)
  18. continuar            (Prob: 0.007688)
  19. arved                (Prob: 0.007688)
  20. generación           (Prob: 0.007688)

==================== TEMA 1 ====================
  1. allí                 (Prob: 0.109366)
  2. doctora              (Prob: 0.052591)
  3. momento              (Prob: 0.031563)
  4. principio            (Prob: 0.027357)
  5. imposible            (Prob: 0.025254)
  6. noticia              (Prob: 0.023152)
  7. ír                   (Prob: 0.023152)
  8. morir                (Prob: 0.021049)
  9. periodo              (Prob: 0.016843)
  10. hora                 (Prob: 0.014741)
  11. sopa                 (Prob: 0.014741)
  12. totalmente           (Prob: 0.014741)
  13. andrajo              (Prob: 0.014741)
  14. miembro              (Prob: 0.012638)
  15. trasladar            (Prob: 0.012638)
  16. tatuado              (Prob: 0.010535)
  17. considerable         (Prob: 0.010535)
  18. especificar          (Prob: 0.010535)
  19. política             (Prob: 0.008432)
  20. cadáver              (Prob: 0.008432)

==================== TEMA 2 ====================
  1. médico               (Prob: 0.178411)
  2. utilizar             (Prob: 0.032129)
  3. alguno               (Prob: 0.032129)
  4. indicar              (Prob: 0.030345)
  5. verdadero            (Prob: 0.028561)
  6. enorme               (Prob: 0.023209)
  7. importar             (Prob: 0.017857)
  8. futuro               (Prob: 0.016073)
  9. mismo                (Prob: 0.016073)
  10. descubrir            (Prob: 0.014289)
  11. irmar                (Prob: 0.014289)
  12. ver él               (Prob: 0.012505)
  13. interesar            (Prob: 0.012505)
  14. traté                (Prob: 0.010721)
  15. sufrir               (Prob: 0.010721)
  16. cuyo                 (Prob: 0.008937)
  17. individuo            (Prob: 0.008937)
  18. niño                 (Prob: 0.008937)
  19. campo                (Prob: 0.008937)
  20. encerrado            (Prob: 0.008937)

==================== TEMA 3 ====================
  1. mujer                (Prob: 0.307810)
  2. uno                  (Prob: 0.055042)
  3. frente               (Prob: 0.032688)
  4. barraca              (Prob: 0.025810)
  5. sentimiento          (Prob: 0.020651)
  6. trabajador           (Prob: 0.017212)
  7. manta                (Prob: 0.017212)
  8. presencia            (Prob: 0.017212)
  9. mucho                (Prob: 0.015493)
  10. casi                 (Prob: 0.015493)
  11. ocupación            (Prob: 0.010334)
  12. privilegio           (Prob: 0.010334)
  13. tardar               (Prob: 0.010334)
  14. aparecer             (Prob: 0.010334)
  15. kilómetro            (Prob: 0.008615)
  16. débil                (Prob: 0.008615)
  17. trasladado           (Prob: 0.008615)
  18. belleza              (Prob: 0.006895)
  19. brutalmente          (Prob: 0.006895)
  20. alrededor            (Prob: 0.006895)

==================== TEMA 4 ====================
  1. alemán               (Prob: 0.224359)
  2. llamado              (Prob: 0.052597)
  3. primero              (Prob: 0.049092)
  4. mundo                (Prob: 0.043834)
  5. enemigo              (Prob: 0.029813)
  6. nazi                 (Prob: 0.019297)
  7. acusar               (Prob: 0.012286)
  8. crédito              (Prob: 0.012286)
  9. llegar               (Prob: 0.012286)
  10. lado                 (Prob: 0.012286)
  11. energía              (Prob: 0.010534)
  12. interrogatorio       (Prob: 0.008781)
  13. población            (Prob: 0.008781)
  14. vecino               (Prob: 0.008781)
  15. rodeado              (Prob: 0.008781)
  16. persecución          (Prob: 0.008781)
  17. prestar              (Prob: 0.008781)
  18. encargado            (Prob: 0.008781)
  19. pregunta             (Prob: 0.005276)
  20. trabajador           (Prob: 0.005276)

==================== TEMA 5 ====================
  1. alemán               (Prob: 0.151113)
  2. gente                (Prob: 0.044457)
  3. vido                 (Prob: 0.044457)
  4. tú                   (Prob: 0.033792)
  5. olvidar              (Prob: 0.026682)
  6. prueba               (Prob: 0.026682)
  7. muerto               (Prob: 0.026682)
  8. muerte               (Prob: 0.026682)
  9. camino               (Prob: 0.023126)
  10. cual                 (Prob: 0.023126)
  11. cuatro               (Prob: 0.023126)
